date,sunrise_hour,sunset_hour,daylength
2009-01-01,6,23,17
2009-01-02,6,23,17
2009-01-03,6,23,17
2009-01-04,6,23,17
2009-01-05,6,23,17
2009-01-06,6,23,17
2009-01-07,6,23,17
2009-01-08,6,23,17
2009-01-09,6,23,17
2009-01-10,6,23,17
2009-01-11,6,23,17
2009-01-12,6,23,17
2009-01-13,6,23,17
2009-01-14,6,23,17
2009-01-15,6,23,17
2009-01-16,6,23,17
2009-01-17,7,23,16
2009-01-18,7,22,15
2009-01-19,7,22,15
2009-01-20,7,22,15
2009-01-21,7,22,15
2009-01-22,7,22,15
2009-01-23,7,22,15
2009-01-24,7,22,15
2009-01-25,7,22,15
2009-01-26,7,22,15
2009-01-27,7,22,15
2009-01-28,7,22,15
2009-01-29,7,22,15
2009-01-30,7,22,15
2009-01-31,7,22,15
2009-02-01,7,22,15
2009-02-02,7,22,15
2009-02-03,7,22,15
2009-02-04,7,22,15
2009-02-05,7,22,15
2009-02-06,7,22,15
2009-02-07,7,22,15
2009-02-08,7,22,15
2009-02-09,7,22,15
2009-02-10,7,22,15
2009-02-11,7,22,15
2009-02-12,7,22,15
2009-02-13,7,22,15
2009-02-14,7,22,15
2009-02-15,6,21,15
2009-02-16,6,21,15
2009-02-17,6,21,15
2009-02-18,6,21,15
2009-02-19,7,21,14
2009-02-20,7,21,14
2009-02-21,7,21,14
2009-02-22,7,21,14
2009-02-23,7,20,13
2009-02-24,7,20,13
2009-02-25,7,20,13
2009-02-26,7,20,13
2009-02-27,7,20,13
2009-02-28,7,20,13
2009-03-01,7,20,13
2009-03-02,7,20,13
2009-03-03,7,20,13
2009-03-04,7,20,13
2009-03-05,7,20,13
2009-03-06,7,20,13
2009-03-07,7,20,13
2009-03-08,7,20,13
2009-03-09,7,20,13
2009-03-10,7,20,13
2009-03-11,7,20,13
2009-03-12,7,20,13
2009-03-13,7,20,13
2009-03-14,7,20,13
2009-03-15,7,20,13
2009-03-16,7,20,13
2009-03-17,7,20,13
2009-03-18,7,20,13
2009-03-19,7,20,13
2009-03-20,7,20,13
2009-03-21,7,20,13
2009-03-22,7,19,12
2009-03-23,7,19,12
2009-03-24,7,19,12
2009-03-25,8,19,11
2009-03-26,8,19,11
2009-03-27,8,19,11
2009-03-28,8,19,11
2009-03-29,8,19,11
2009-03-30,8,19,11
2009-03-31,8,19,11
2009-04-01,8,19,11
2009-04-02,8,19,11
2009-04-03,8,19,11
2009-04-04,8,19,11
2009-04-05,8,19,11
2009-04-06,8,19,11
2009-04-07,8,19,11
2009-04-08,8,19,11
2009-04-09,8,19,11
2009-04-10,8,19,11
2009-04-11,8,19,11
2009-04-12,8,19,11
2009-04-13,8,19,11
2009-04-14,8,19,11
2009-04-15,8,19,11
2009-04-16,8,19,11
2009-04-17,8,19,11
2009-04-18,8,18,10
