date,sunrise_hour,sunset_hour,daylength
2006-01-01,5,20,15
2006-01-02,5,20,15
2006-01-03,5,20,15
2006-01-04,5,20,15
2006-01-05,5,20,15
2006-01-06,5,20,15
2006-01-07,5,20,15
2006-01-08,5,20,15
2006-01-09,5,20,15
2006-01-10,5,20,15
2006-01-11,5,20,15
2006-01-12,5,20,15
2006-01-13,5,20,15
2006-01-14,5,20,15
2006-01-15,5,20,15
2006-01-16,6,20,14
2006-01-17,6,20,14
2006-01-18,6,20,14
2006-01-19,6,20,14
2006-01-20,6,20,14
2006-01-21,6,20,14
2006-01-22,6,20,14
2006-01-23,6,20,14
2006-01-24,6,20,14
2006-01-25,6,20,14
2006-01-26,6,20,14
2006-01-27,6,20,14
2006-01-28,6,20,14
2006-01-29,6,20,14
2006-01-30,6,20,14
2006-01-31,6,20,14
2006-02-01,6,20,14
2006-02-02,6,20,14
2006-02-03,6,20,14
2006-02-04,6,20,14
2006-02-05,6,20,14
2006-02-06,6,20,14
2006-02-07,6,20,14
2006-02-08,6,20,14
2006-02-09,6,20,14
2006-02-10,6,20,14
2006-02-11,6,20,14
2006-02-12,6,20,14
2006-02-13,6,20,14
2006-02-14,6,20,14
2006-02-15,6,20,14
2006-02-16,6,20,14
2006-02-17,6,20,14
2006-02-18,6,20,14
2006-02-19,6,19,13
2006-02-20,6,19,13
2006-02-21,6,19,13
2006-02-22,6,19,13
2006-02-23,6,19,13
2006-02-24,6,19,13
2006-02-25,6,19,13
2006-02-26,6,19,13
2006-02-27,6,19,13
2006-02-28,6,19,13
2006-03-01,6,19,13
2006-03-02,6,19,13
2006-03-03,6,19,13
2006-03-04,6,19,13
2006-03-05,6,19,13
2006-03-06,6,19,13
2006-03-07,6,19,13
2006-03-08,6,19,13
2006-03-09,6,19,13
2006-03-10,6,19,13
2006-03-11,6,19,13
2006-03-12,7,19,12
2006-03-13,7,19,12
2006-03-14,7,19,12
2006-03-15,7,19,12
2006-03-16,7,19,12
2006-03-17,7,19,12
2006-03-18,7,19,12
2006-03-19,7,19,12
2006-03-20,7,19,12
2006-03-21,7,19,12
2006-03-22,7,19,12
2006-03-23,7,19,12
2006-03-24,7,19,12
2006-03-25,7,19,12
2006-03-26,7,19,12
2006-03-27,7,19,12
2006-03-28,7,19,12
2006-03-29,7,19,12
2006-03-30,7,19,12
2006-03-31,7,19,12
2006-04-01,7,18,11
2006-04-02,6,17,11
2006-04-03,6,17,11
2006-04-04,6,17,11
2006-04-05,6,17,11
2006-04-06,6,17,11
2006-04-07,6,17,11
2006-04-08,6,17,11
2006-04-09,6,17,11
2006-04-10,6,17,11
2006-04-11,6,17,11
2006-04-12,6,17,11
2006-04-13,6,17,11
2006-04-14,6,17,11
2006-04-15,6,17,11
2006-04-16,6,17,11
2006-04-17,6,17,11
2006-04-18,6,17,11
2006-04-19,6,17,11
2006-04-20,6,17,11
2006-04-21,6,17,11
2006-04-22,6,17,11
2006-04-23,6,17,11
2006-04-24,6,17,11
2006-04-25,6,17,11
2006-04-26,6,17,11
2006-04-27,6,17,11
2006-04-28,6,17,11
2006-04-29,6,17,11
2006-04-30,6,17,11
2006-05-01,6,17,11
2006-05-02,6,17,11
2006-05-03,6,17,11
2006-05-04,6,17,11
2006-05-05,6,17,11
2006-05-06,6,17,11
2006-05-07,6,17,11
2006-05-08,6,17,11
2006-05-09,6,17,11
2006-05-10,6,17,11
2006-05-11,6,17,11
2006-05-12,6,17,11
2006-05-13,6,17,11
2006-05-14,6,17,11
2006-05-15,6,17,11
2006-05-16,6,17,11
2006-05-17,6,17,11
2006-05-18,7,17,10
2006-05-19,7,17,10
2006-05-20,7,17,10
2006-05-21,7,17,10
2006-05-22,7,17,10
2006-05-23,7,16,9
2006-05-24,7,16,9
2006-05-25,7,16,9
2006-05-26,7,16,9
2006-05-27,7,16,9
2006-05-28,7,16,9
2006-05-29,7,16,9
2006-05-30,7,16,9
2006-05-31,7,16,9
2006-06-01,7,16,9
2006-06-02,7,16,9
2006-06-03,7,16,9
2006-06-04,7,16,9
2006-06-05,7,16,9
2006-06-06,7,16,9
2006-06-07,7,16,9
2006-06-08,7,16,9
2006-06-09,7,16,9
2006-06-10,7,16,9
2006-06-11,7,16,9
2006-06-12,7,16,9
2006-06-13,7,16,9
2006-06-14,7,16,9
2006-06-15,7,16,9
2006-06-16,7,16,9
2006-06-17,7,16,9
2006-06-18,7,16,9
2006-06-19,7,16,9
2006-06-20,7,16,9
2006-06-21,7,16,9
2006-06-22,7,16,9
2006-06-23,7,16,9
2006-06-24,7,16,9
2006-06-25,7,16,9
2006-06-26,7,16,9
2006-06-27,7,16,9
2006-06-28,7,16,9
2006-06-29,7,16,9
2006-06-30,7,16,9
2006-07-01,7,16,9
2006-07-02,7,16,9
2006-07-03,7,16,9
2006-07-04,7,16,9
2006-07-05,7,16,9
2006-07-06,7,16,9
2006-07-07,7,16,9
2006-07-08,7,17,10
2006-07-09,7,17,10
2006-07-10,7,17,10
2006-07-11,7,17,10
2006-07-12,7,17,10
2006-07-13,7,17,10
2006-07-14,7,17,10
2006-07-15,7,17,10
2006-07-16,7,17,10
2006-07-17,7,17,10
2006-07-18,7,17,10
2006-07-19,7,17,10
2006-07-20,7,17,10
2006-07-21,7,17,10
2006-07-22,7,17,10
2006-07-23,7,17,10
2006-07-24,7,17,10
2006-07-25,7,17,10
2006-07-26,7,17,10
2006-07-27,7,17,10
2006-07-28,7,17,10
2006-07-29,7,17,10
2006-07-30,7,17,10
2006-07-31,7,17,10
2006-08-01,7,17,10
2006-08-02,7,17,10
2006-08-03,7,17,10
2006-08-04,7,17,10
2006-08-05,7,17,10
2006-08-06,7,17,10
2006-08-07,6,17,11
2006-08-08,6,17,11
2006-08-09,6,17,11
2006-08-10,6,17,11
2006-08-11,6,17,11
2006-08-12,6,17,11
2006-08-13,6,17,11
2006-08-14,6,17,11
2006-08-15,6,17,11
2006-08-16,6,17,11
2006-08-17,6,17,11
2006-08-18,6,17,11
2006-08-19,6,17,11
2006-08-20,6,17,11
2006-08-21,6,17,11
2006-08-22,6,17,11
2006-08-23,6,17,11
2006-08-24,6,17,11
2006-08-25,6,17,11
2006-08-26,6,17,11
2006-08-27,6,17,11
2006-08-28,6,17,11
2006-08-29,6,17,11
2006-08-30,6,17,11
2006-08-31,6,17,11
2006-09-01,6,17,11
2006-09-02,6,17,11
2006-09-03,6,17,11
2006-09-04,6,17,11
2006-09-05,6,17,11
2006-09-06,6,17,11
2006-09-07,6,17,11
2006-09-08,6,17,11
2006-09-09,6,17,11
2006-09-10,6,17,11
2006-09-11,6,17,11
2006-09-12,6,17,11
2006-09-13,6,17,11
2006-09-14,6,17,11
2006-09-15,6,17,11
2006-09-16,6,17,11
2006-09-17,6,17,11
2006-09-18,6,17,11
2006-09-19,5,17,12
2006-09-20,5,17,12
2006-09-21,5,17,12
2006-09-22,5,18,13
2006-09-23,5,18,13
2006-09-24,5,18,13
2006-09-25,5,18,13
2006-09-26,5,18,13
2006-09-27,5,18,13
2006-09-28,5,18,13
2006-09-29,5,18,13
2006-09-30,5,18,13
2006-10-01,5,18,13
2006-10-02,5,18,13
2006-10-03,5,18,13
2006-10-04,5,18,13
2006-10-05,5,18,13
2006-10-06,5,18,13
2006-10-07,5,18,13
2006-10-08,5,18,13
2006-10-09,5,18,13
2006-10-10,5,18,13
2006-10-11,5,18,13
2006-10-12,5,18,13
2006-10-13,5,18,13
2006-10-14,5,18,13
2006-10-15,5,18,13
2006-10-16,5,18,13
2006-10-17,5,18,13
2006-10-18,5,18,13
2006-10-19,5,18,13
2006-10-20,5,18,13
2006-10-21,5,18,13
2006-10-22,5,18,13
2006-10-23,5,18,13
2006-10-24,5,18,13
2006-10-25,5,18,13
2006-10-26,5,18,13
2006-10-27,5,18,13
2006-10-28,5,18,13
2006-10-29,6,19,13
2006-10-30,6,19,13
2006-10-31,5,19,14
2006-11-01,5,19,14
2006-11-02,5,19,14
2006-11-03,5,19,14
2006-11-04,5,19,14
2006-11-05,5,19,14
2006-11-06,5,19,14
2006-11-07,5,19,14
2006-11-08,5,19,14
2006-11-09,5,19,14
2006-11-10,5,19,14
2006-11-11,5,19,14
2006-11-12,5,19,14
2006-11-13,5,19,14
2006-11-14,5,19,14
2006-11-15,5,19,14
2006-11-16,5,19,14
2006-11-17,5,19,14
2006-11-18,5,19,14
2006-11-19,5,19,14
2006-11-20,5,19,14
2006-11-21,5,20,15
2006-11-22,5,20,15
2006-11-23,5,20,15
2006-11-24,5,20,15
2006-11-25,5,20,15
2006-11-26,5,20,15
2006-11-27,5,20,15
2006-11-28,5,20,15
2006-11-29,5,20,15
2006-11-30,5,20,15
2006-12-01,5,20,15
2006-12-02,5,20,15
2006-12-03,5,20,15
2006-12-04,5,20,15
2006-12-05,5,20,15
2006-12-06,5,20,15
2006-12-07,5,20,15
2006-12-08,5,20,15
2006-12-09,5,20,15
2006-12-10,5,20,15
2006-12-11,5,20,15
2006-12-12,5,20,15
2006-12-13,5,20,15
2006-12-14,5,20,15
2006-12-15,5,20,15
2006-12-16,5,20,15
2006-12-17,5,20,15
2006-12-18,5,20,15
2006-12-19,5,20,15
2006-12-20,5,20,15
2006-12-21,5,20,15
2006-12-22,5,20,15
2006-12-23,5,20,15
2006-12-24,5,20,15
2006-12-25,5,20,15
2006-12-26,5,20,15
2006-12-27,5,20,15
2006-12-28,5,20,15
2006-12-29,5,20,15
2006-12-30,5,20,15
2006-12-31,5,20,15
2007-01-01,5,20,15
2007-01-02,5,20,15
2007-01-03,5,20,15
2007-01-04,5,20,15
2007-01-05,5,20,15
2007-01-06,5,20,15
2007-01-07,5,20,15
2007-01-08,5,20,15
2007-01-09,5,20,15
2007-01-10,5,20,15
2007-01-11,5,20,15
2007-01-12,5,20,15
2007-01-13,5,20,15
2007-01-14,5,20,15
2007-01-15,5,20,15
2007-01-16,6,20,14
2007-01-17,6,20,14
2007-01-18,6,20,14
2007-01-19,6,20,14
2007-01-20,6,20,14
2007-01-21,6,20,14
2007-01-22,6,20,14
2007-01-23,6,20,14
2007-01-24,6,20,14
2007-01-25,6,20,14
2007-01-26,6,20,14
2007-01-27,6,20,14
2007-01-28,6,20,14
2007-01-29,6,20,14
2007-01-30,6,20,14
2007-01-31,6,20,14
2007-02-01,6,20,14
2007-02-02,6,20,14
2007-02-03,6,20,14
2007-02-04,6,20,14
2007-02-05,6,20,14
2007-02-06,6,20,14
2007-02-07,6,20,14
2007-02-08,6,20,14
2007-02-09,6,20,14
2007-02-10,6,20,14
2007-02-11,6,20,14
2007-02-12,6,20,14
2007-02-13,6,20,14
2007-02-14,6,20,14
2007-02-15,6,20,14
2007-02-16,6,20,14
2007-02-17,6,20,14
2007-02-18,6,20,14
2007-02-19,6,19,13
2007-02-20,6,19,13
2007-02-21,6,19,13
2007-02-22,6,19,13
2007-02-23,6,19,13
2007-02-24,6,19,13
2007-02-25,6,19,13
2007-02-26,6,19,13
2007-02-27,6,19,13
2007-02-28,6,19,13
2007-03-01,6,19,13
2007-03-02,6,19,13
2007-03-03,6,19,13
2007-03-04,6,19,13
2007-03-05,6,19,13
2007-03-06,6,19,13
2007-03-07,6,19,13
2007-03-08,6,19,13
2007-03-09,6,19,13
2007-03-10,6,19,13
2007-03-11,6,19,13
2007-03-12,6,19,13
2007-03-13,7,19,12
2007-03-14,7,19,12
2007-03-15,7,19,12
2007-03-16,7,19,12
2007-03-17,7,19,12
2007-03-18,7,19,12
2007-03-19,7,19,12
2007-03-20,7,19,12
2007-03-21,7,19,12
2007-03-22,7,19,12
2007-03-23,7,19,12
2007-03-24,7,19,12
2007-03-25,6,18,12
2007-03-26,6,18,12
2007-03-27,6,18,12
2007-03-28,6,18,12
2007-03-29,6,18,12
2007-03-30,6,18,12
2007-03-31,6,18,12
2007-04-01,6,17,11
2007-04-02,6,17,11
2007-04-03,6,17,11
2007-04-04,6,17,11
2007-04-05,6,17,11
2007-04-06,6,17,11
2007-04-07,6,17,11
2007-04-08,6,17,11
2007-04-09,6,17,11
2007-04-10,6,17,11
2007-04-11,6,17,11
2007-04-12,6,17,11
2007-04-13,6,17,11
2007-04-14,6,17,11
2007-04-15,6,17,11
2007-04-16,6,17,11
2007-04-17,6,17,11
2007-04-18,6,17,11
2007-04-19,6,17,11
2007-04-20,6,17,11
2007-04-21,6,17,11
2007-04-22,6,17,11
2007-04-23,6,17,11
2007-04-24,6,17,11
2007-04-25,6,17,11
2007-04-26,6,17,11
2007-04-27,6,17,11
2007-04-28,6,17,11
2007-04-29,6,17,11
2007-04-30,6,17,11
2007-05-01,6,17,11
2007-05-02,6,17,11
2007-05-03,6,17,11
2007-05-04,6,17,11
2007-05-05,6,17,11
2007-05-06,6,17,11
2007-05-07,6,17,11
