date,sunrise_hour,sunset_hour,daylength
2008-01-01,6,19,13
2008-01-02,6,19,13
2008-01-03,6,19,13
2008-01-04,6,19,13
2008-01-05,6,19,13
2008-01-06,6,19,13
2008-01-07,6,19,13
2008-01-08,6,19,13
2008-01-09,6,19,13
2008-01-10,6,19,13
2008-01-11,6,19,13
2008-01-12,6,19,13
2008-01-13,6,19,13
2008-01-14,6,19,13
2008-01-15,6,19,13
2008-01-16,6,19,13
2008-01-17,6,19,13
2008-01-18,6,19,13
2008-01-19,6,19,13
2008-01-20,6,19,13
2008-01-21,6,19,13
2008-01-22,6,19,13
2008-01-23,6,19,13
2008-01-24,6,19,13
2008-01-25,6,19,13
2008-01-26,6,19,13
2008-01-27,6,19,13
2008-01-28,6,19,13
2008-01-29,6,19,13
2008-01-30,6,19,13
2008-01-31,6,19,13
2008-02-01,6,19,13
2008-02-02,6,19,13
2008-02-03,6,19,13
2008-02-04,6,19,13
2008-02-05,6,19,13
2008-02-06,6,19,13
2008-02-07,6,19,13
2008-02-08,6,19,13
2008-02-09,6,19,13
2008-02-10,6,19,13
2008-02-11,6,19,13
2008-02-12,6,19,13
2008-02-13,6,19,13
2008-02-14,6,19,13
2008-02-15,6,19,13
2008-02-16,6,19,13
2008-02-17,5,18,13
2008-02-18,5,18,13
2008-02-19,5,18,13
2008-02-20,5,18,13
2008-02-21,5,18,13
2008-02-22,5,18,13
2008-02-23,5,18,13
2008-02-24,5,18,13
2008-02-25,5,18,13
2008-02-26,5,18,13
2008-02-27,5,18,13
2008-02-28,5,18,13
2008-02-29,5,18,13
2008-03-01,5,18,13
2008-03-02,5,18,13
2008-03-03,5,18,13
2008-03-04,5,18,13
2008-03-05,6,18,12
2008-03-06,6,18,12
2008-03-07,6,18,12
2008-03-08,6,18,12
2008-03-09,6,18,12
2008-03-10,6,18,12
2008-03-11,6,18,12
2008-03-12,6,18,12
2008-03-13,6,18,12
2008-03-14,6,18,12
2008-03-15,6,18,12
2008-03-16,6,18,12
2008-03-17,6,18,12
2008-03-18,6,18,12
2008-03-19,6,18,12
2008-03-20,6,18,12
2008-03-21,6,18,12
2008-03-22,6,18,12
2008-03-23,6,18,12
2008-03-24,6,18,12
2008-03-25,6,18,12
2008-03-26,6,18,12
2008-03-27,6,18,12
2008-03-28,6,18,12
2008-03-29,6,18,12
2008-03-30,6,18,12
2008-03-31,6,18,12
2008-04-01,6,18,12
2008-04-02,6,18,12
2008-04-03,6,17,11
2008-04-04,6,17,11
2008-04-05,6,17,11
2008-04-06,6,17,11
2008-04-07,6,17,11
2008-04-08,6,17,11
2008-04-09,6,17,11
2008-04-10,6,17,11
2008-04-11,6,17,11
2008-04-12,6,17,11
2008-04-13,6,17,11
2008-04-14,6,17,11
2008-04-15,6,17,11
2008-04-16,6,17,11
2008-04-17,6,17,11
2008-04-18,6,17,11
2008-04-19,6,17,11
2008-04-20,6,17,11
2008-04-21,6,17,11
2008-04-22,6,17,11
2008-04-23,6,17,11
2008-04-24,6,17,11
2008-04-25,6,17,11
2008-04-26,6,17,11
2008-04-27,6,17,11
2008-04-28,6,17,11
2008-04-29,6,17,11
2008-04-30,6,17,11
2008-05-01,6,17,11
2008-05-02,6,17,11
2008-05-03,6,17,11
2008-05-04,6,17,11
2008-05-05,6,17,11
2008-05-06,6,17,11
2008-05-07,6,17,11
2008-05-08,6,17,11
2008-05-09,6,17,11
2008-05-10,6,17,11
2008-05-11,6,17,11
2008-05-12,6,17,11
2008-05-13,6,17,11
2008-05-14,6,17,11
2008-05-15,6,17,11
2008-05-16,6,17,11
2008-05-17,6,17,11
2008-05-18,6,17,11
2008-05-19,6,17,11
2008-05-20,6,17,11
2008-05-21,6,17,11
2008-05-22,6,17,11
2008-05-23,6,17,11
2008-05-24,6,17,11
2008-05-25,6,17,11
2008-05-26,6,17,11
2008-05-27,6,17,11
2008-05-28,6,17,11
2008-05-29,6,17,11
2008-05-30,6,17,11
2008-05-31,6,17,11
2008-06-01,6,17,11
2008-06-02,6,17,11
2008-06-03,6,17,11
2008-06-04,6,17,11
2008-06-05,6,17,11
2008-06-06,6,17,11
2008-06-07,6,17,11
2008-06-08,6,17,11
2008-06-09,6,17,11
2008-06-10,6,17,11
2008-06-11,6,17,11
2008-06-12,6,17,11
2008-06-13,6,17,11
2008-06-14,6,17,11
2008-06-15,6,17,11
2008-06-16,6,17,11
2008-06-17,6,17,11
2008-06-18,6,17,11
2008-06-19,6,17,11
2008-06-20,6,17,11
