date,sunrise_hour,sunset_hour,daylength
2012-01-01,7,16,9
2012-01-02,7,16,9
2012-01-03,7,16,9
2012-01-04,7,16,9
2012-01-05,7,16,9
2012-01-06,7,16,9
2012-01-07,7,17,10
2012-01-08,7,17,10
2012-01-09,7,17,10
2012-01-10,7,17,10
2012-01-11,7,17,10
2012-01-12,7,17,10
2012-01-13,7,17,10
2012-01-14,7,17,10
2012-01-15,7,17,10
2012-01-16,7,17,10
2012-01-17,7,17,10
2012-01-18,7,17,10
2012-01-19,7,17,10
2012-01-20,7,17,10
2012-01-21,7,17,10
2012-01-22,7,17,10
2012-01-23,7,17,10
2012-01-24,7,17,10
2012-01-25,7,17,10
2012-01-26,7,17,10
2012-01-27,7,17,10
2012-01-28,7,17,10
2012-01-29,7,17,10
2012-01-30,7,17,10
2012-01-31,7,17,10
2012-02-01,7,17,10
2012-02-02,7,17,10
2012-02-03,7,17,10
2012-02-04,7,17,10
2012-02-05,7,17,10
2012-02-06,7,17,10
2012-02-07,7,17,10
2012-02-08,7,17,10
2012-02-09,7,17,10
2012-02-10,7,17,10
2012-02-11,7,17,10
2012-02-12,7,17,10
2012-02-13,7,17,10
2012-02-14,7,17,10
2012-02-15,7,17,10
2012-02-16,7,17,10
2012-02-17,7,17,10
2012-02-18,7,17,10
2012-02-19,7,17,10
2012-02-20,7,17,10
2012-02-21,7,17,10
2012-02-22,7,17,10
2012-02-23,7,17,10
2012-02-24,7,18,11
2012-02-25,7,18,11
2012-02-26,7,18,11
2012-02-27,6,18,12
2012-02-28,6,18,12
2012-02-29,6,18,12
2012-03-01,6,18,12
2012-03-02,6,18,12
2012-03-03,6,18,12
2012-03-04,6,18,12
2012-03-05,6,18,12
2012-03-06,6,18,12
2012-03-07,6,18,12
2012-03-08,6,18,12
2012-03-09,6,18,12
2012-03-10,6,18,12
2012-03-11,6,18,12
2012-03-12,6,18,12
2012-03-13,6,18,12
2012-03-14,6,18,12
2012-03-15,6,18,12
2012-03-16,6,18,12
2012-03-17,6,18,12
2012-03-18,6,18,12
2012-03-19,6,18,12
2012-03-20,6,18,12
2012-03-21,6,18,12
2012-03-22,6,18,12
2012-03-23,6,18,12
2012-03-24,6,18,12
2012-03-25,6,18,12
2012-03-26,6,18,12
2012-03-27,6,18,12
2012-03-28,6,18,12
2012-03-29,6,18,12
2012-03-30,6,18,12
2012-03-31,6,18,12
2012-04-01,6,18,12
2012-04-02,5,18,13
2012-04-03,5,18,13
2012-04-04,5,18,13
2012-04-05,5,18,13
2012-04-06,5,18,13
2012-04-07,5,18,13
2012-04-08,5,18,13
2012-04-09,5,18,13
2012-04-10,5,18,13
2012-04-11,5,18,13
2012-04-12,5,18,13
2012-04-13,5,18,13
