date,8TPD,4TPD,3TPDnight,3TPDday,hourly
2009-07-28,,,,,
2009-07-29,,,,,
2009-07-30,,,,,
2009-07-31,,,,,
2009-08-01,,,,,
2009-08-02,,,,,
2009-08-03,,,,,
2009-08-04,,,,,
2009-08-05,,,,,
2009-08-06,,,,,
2009-08-07,,,,,
2009-08-08,,,,,
2009-08-09,,,,,
2009-08-10,,,,,
2009-08-11,,,,,
2009-08-12,,,,,
2009-08-13,,,,,
2009-08-14,,,,,
2009-08-15,,,,,
2009-08-16,,,,,
2009-08-17,,,,,
2009-08-18,,,,,
2009-08-19,,,,,
2009-08-20,,,,,
2009-08-21,,,,,
2009-08-22,,,,,
2009-08-23,,,,,
2009-08-24,,,,,
2009-08-25,,,,,
2009-08-26,,,,,
2009-08-27,,,,,
2009-08-28,,,,,
2009-08-29,,,,,
2009-08-30,,,,,
2009-08-31,,,,,
2009-09-01,,,,,
2009-09-02,,,,,
2009-09-03,,,,,
2009-09-04,,,,,
2009-09-05,,,,,
2009-09-06,,,,,
2009-09-07,,,,,
2009-09-08,,,,,
2009-09-09,,,,,
2009-09-10,,,,,
2009-09-11,,,,,
2009-09-12,,,,,
2009-09-13,,,,,
2009-09-14,,,,,
2009-09-15,,,,,
2009-09-16,,,,,
2009-09-17,,,,,
2009-09-18,,,,,
2009-09-19,,,,,
2009-09-20,,,,,
2009-09-21,,,,,
2009-09-22,,,,,
2009-09-23,,,,,
2009-09-24,,,,,
2009-09-25,,,,,
2009-09-26,,,,,
2009-09-27,,,,,
2009-09-28,,,,,
2009-09-29,,,,,
2009-09-30,,,,,
2009-10-01,,,,,
2009-10-02,,,,,
2009-10-03,,,,,
2009-10-04,,,,,
2009-10-05,,,,,
2009-10-06,,,,,
2009-10-07,,,,,
2009-10-08,,,,,
2009-10-09,,,,,
2009-10-10,,,,,
2009-10-11,,,,,
2009-10-12,,,,,
2009-10-13,,,,,
2009-10-14,,,,,
2009-10-15,,,,,
2009-10-16,,,,,
2009-10-17,,,,,
2009-10-18,,,,,
2009-10-19,,,,,
2009-10-20,,,,,
2009-10-21,,,,,
2009-10-22,,,,,
2009-10-23,,,,,
2009-10-24,,,,,
2009-10-25,,,,,
2009-10-26,,,,,
2009-10-27,,,,,
2009-10-28,,,,,
2009-10-29,,,,,
2009-10-30,,,,,
2009-10-31,,,,,
2009-11-01,,,,,
2009-11-02,,,,,
2009-11-03,,,,,
2009-11-04,,,,,
2009-11-05,,,,,
2009-11-06,,,,,
2009-11-07,,,,,
2009-11-08,,,,,
2009-11-09,,,,,
2009-11-10,,,,,
2009-11-11,,,,,
2009-11-12,,,,,
2009-11-13,,,,,
2009-11-14,,,,,
2009-11-15,,,,,
2009-11-16,,,,,
2009-11-17,,,,,
2009-11-18,,,,,
2009-11-19,,,,,
2009-11-20,,,,,
2009-11-21,,,,,
2009-11-22,,,,,
2009-11-23,,,,,
2009-11-24,,,,,
2009-11-25,,,,,
2009-11-26,,,,,
2009-11-27,,,,,
2009-11-28,,,,,
2009-11-29,,,,,
2009-11-30,,,,,
2009-12-01,,,,,
2009-12-02,,,,,
2009-12-03,,,,,
2009-12-04,,,,,
2009-12-05,,,,,
2009-12-06,,,,,
2009-12-07,,,,,
2009-12-08,,,,,
2009-12-09,,,,,
2009-12-10,,,,,
2009-12-11,,,,,
2009-12-12,,,,,
2009-12-13,,,,,
2009-12-14,,,,,
2009-12-15,,,,,
2009-12-16,,,,,
2009-12-17,,,,,
2009-12-18,,,,,
2009-12-19,,,,,
2009-12-20,,,,,
2009-12-21,,,,,
2009-12-22,,,,,
2009-12-23,,,,,
2009-12-24,,,,,
2009-12-25,,,,,
2009-12-26,,,,,
2009-12-27,,,,,
2009-12-28,,,,,
2009-12-29,,,,,
2009-12-30,,,,,
2009-12-31,,,,,
2010-01-01,1.0375356059028604,7.546296583955274,700.2106153809153,3.5668372898076184,-11.989328432824776
2010-01-02,-3.8709139794741567,,,,-4.342345128263319
2010-01-03,-2.741931291765547,,,,-2.7802895254744406
2010-01-04,10.901205324122996,20.956745922844497,17.985213837003744,20.956745922844497,1.2846488351637453
2010-01-05,0.569993965094876,3.3321227290886024,1.7439810500342685,3.3321227290886024,0.9792098757430209
2010-01-06,-0.6916848301389718,,,,-0.6286998612401729
2010-01-07,18.743828190107912,44.95275667978007,45.36039797151283,44.95275667978007,19.11581635142469
2010-01-08,2.2867022653015234,,,12.642700139629552,1.7651508833854963
2010-01-09,3.571124830647123,,,,1.32203231268534
2010-01-10,10.005126592031145,,,,11.080872516533049
2010-01-11,6.978386531874116,-1.1122183863153419,2.8646249758569744,-1.5619369347266419,5.808642772042781
2010-01-12,20.248610179907068,15.637002189109394,9.551754921450184,16.17047766218161,27.472776160468584
2010-01-13,29.08507842199197,,,,35.97583596414613
2010-01-14,,,,0.4208418846463466,
2010-01-15,,,,,0.3411875600622842
2010-01-16,0.6617329515398639,1.2641872280204314,1.2641872280204314,1.9452570583551825,0.3696896871414439
2010-01-17,46.143736732448644,10.887280044185678,58.65939198232736,2.643609444740962,28.92747871164787
2010-01-18,0.41607600585251137,0.4159703268170325,3.372297006301823,0.3997350504017856,0.39217271336027326
2010-01-19,10.526089607783272,92.44927202233924,4.209055930791891,92.44927202233924,20.29009607090473
2010-01-20,0.7875650283726646,,,,5.599467446252512
2010-01-21,,,,,-0.8316400058760605
2010-01-22,-0.30323361797826875,-1.1334945247046773,-4.907430134746331,,0.0172532101830135
2010-01-23,0.0070033418233241725,,,,0.358457429660149
2010-01-24,1.7297500199499654,1.6613928357373724,0.26692658190408863,1.6613928357373724,0.8966678600371282
2010-01-25,0.9673236936015377,0.13910613592793505,,0.13910613592793505,0.8634313348403787
2010-01-26,0.23456751063100106,5.253790215490281,5.253790215490281,,0.1410531518134667
2010-01-27,,1.2460821207879946,1.2460821207879946,4.652244339538414,
2010-01-28,,,-0.5650514577962856,,0.20975750558879497
2010-01-29,0.7801810857347712,0.030771237895780634,0.8200419997721589,-0.2413618953566182,0.8750651654249555
2010-01-30,,,,,5.648582235250122
2010-01-31,,,,,
2010-02-01,3.32588236718433,,,,1.4975384157095206
2010-02-02,,,,,
2010-02-03,,,,,
2010-02-04,,0.319347642247133,,2.326710594511553,0.02174509521822993
2010-02-05,5.1577672342823,,,,3.1867469433482563
2010-02-06,-0.0256682850750068,,,,-0.1874448518998841
2010-02-07,-0.08676501021603875,,,,-0.006510802496099199
2010-02-08,-5.08397926650288,1201.4302973697343,,1201.4302973697343,-3.36894708115446
2010-02-09,0.08622837118425021,,,,-0.0825283684770927
2010-02-10,,,,,1.0110288550814808
2010-02-11,0.757060984410841,,,,0.5995679211770988
2010-02-12,-0.5843046433101491,-1.048550193122808,0.6947905441442234,-0.5768800462436284,4.723554025980647
2010-02-13,,,,,7.302775883353977
2010-02-14,,,,,
2010-02-15,1.7295688937300822,1.0123939163619722,1.0123939163619722,1.7055735031541701,1.86864469954485
2010-02-16,-5.374865006551555,-5.599747194837728,-5.84348337516872,,-4.872824811809928
2010-02-17,-12.913626475611819,-33.08948468337235,-33.08948468337235,16.071639650039792,-7.9437080471058
2010-02-18,4.6522527109608935,,,,3.318173995284571
2010-02-19,0.1510751886976598,5.0570782293942,5.0570782293942,,0.16525708272967907
2010-02-20,,,,,
2010-02-21,2.3439691235284354,2.8701225437202793,2.8701225437202793,1.7195228814593255,2.1853481666620462
