date,sunrise_hour,sunset_hour,daylength
2011-01-01,8,17,9
2011-01-02,8,17,9
2011-01-03,8,17,9
2011-01-04,8,17,9
2011-01-05,8,17,9
2011-01-06,8,17,9
2011-01-07,8,17,9
2011-01-08,8,17,9
2011-01-09,8,17,9
2011-01-10,8,17,9
2011-01-11,8,17,9
2011-01-12,8,17,9
2011-01-13,8,17,9
2011-01-14,8,17,9
2011-01-15,8,17,9
2011-01-16,8,17,9
2011-01-17,8,17,9
2011-01-18,8,17,9
2011-01-19,8,17,9
2011-01-20,8,17,9
2011-01-21,8,17,9
2011-01-22,8,17,9
2011-01-23,8,17,9
2011-01-24,8,17,9
2011-01-25,8,17,9
2011-01-26,8,18,10
2011-01-27,8,18,10
2011-01-28,8,18,10
2011-01-29,8,18,10
2011-01-30,8,18,10
2011-01-31,8,18,10
2011-02-01,8,18,10
2011-02-02,8,18,10
2011-02-03,8,18,10
2011-02-04,8,18,10
2011-02-05,8,18,10
2011-02-06,8,18,10
2011-02-07,7,18,11
2011-02-08,7,18,11
2011-02-09,7,18,11
2011-02-10,7,18,11
2011-02-11,7,18,11
2011-02-12,7,18,11
2011-02-13,7,18,11
2011-02-14,7,18,11
2011-02-15,7,18,11
2011-02-16,7,18,11
2011-02-17,7,18,11
2011-02-18,7,18,11
2011-02-19,7,18,11
2011-02-20,7,18,11
2011-02-21,7,18,11
2011-02-22,7,18,11
2011-02-23,7,18,11
2011-02-24,7,18,11
2011-02-25,7,18,11
2011-02-26,7,18,11
2011-02-27,7,18,11
2011-02-28,7,18,11
2011-03-01,7,18,11
2011-03-02,7,18,11
2011-03-03,7,18,11
2011-03-04,7,18,11
2011-03-05,7,18,11
2011-03-06,7,18,11
2011-03-07,7,18,11
2011-03-08,7,18,11
2011-03-09,7,18,11
2011-03-10,7,18,11
2011-03-11,7,18,11
2011-03-12,7,18,11
2011-03-13,7,18,11
2011-03-14,7,18,11
2011-03-15,7,18,11
2011-03-16,7,19,12
2011-03-17,7,19,12
2011-03-18,7,19,12
2011-03-19,6,19,13
2011-03-20,6,19,13
2011-03-21,6,19,13
2011-03-22,6,19,13
2011-03-23,6,19,13
2011-03-24,6,19,13
2011-03-25,6,19,13
2011-03-26,6,19,13
2011-03-27,7,20,13
2011-03-28,7,20,13
2011-03-29,7,20,13
2011-03-30,7,20,13
2011-03-31,7,20,13
2011-04-01,7,20,13
2011-04-02,7,20,13
2011-04-03,7,20,13
2011-04-04,7,20,13
2011-04-05,7,20,13
2011-04-06,7,20,13
2011-04-07,7,20,13
2011-04-08,7,20,13
2011-04-09,7,20,13
2011-04-10,7,20,13
2011-04-11,7,20,13
2011-04-12,7,20,13
2011-04-13,7,20,13
2011-04-14,7,20,13
2011-04-15,7,20,13
2011-04-16,7,20,13
2011-04-17,7,20,13
2011-04-18,7,20,13
2011-04-19,7,20,13
2011-04-20,7,20,13
2011-04-21,7,20,13
2011-04-22,7,20,13
2011-04-23,7,20,13
2011-04-24,7,20,13
2011-04-25,6,20,14
2011-04-26,6,20,14
2011-04-27,6,20,14
2011-04-28,6,20,14
2011-04-29,6,20,14
2011-04-30,6,20,14
2011-05-01,6,20,14
2011-05-02,6,20,14
2011-05-03,6,20,14
2011-05-04,6,20,14
2011-05-05,6,20,14
2011-05-06,6,20,14
2011-05-07,6,20,14
2011-05-08,6,20,14
2011-05-09,6,20,14
