date,8TPD,4TPD,3TPDnight,3TPDday,hourly
2011-01-01,,,,,
2011-01-02,,,,,
2011-01-03,,,,,
2011-01-04,,,,,
2011-01-05,,,,,
2011-01-06,,,,,
2011-01-07,,,,,
2011-01-08,,,,,
2011-01-09,,,,,
2011-01-10,,,,,
2011-01-11,,,,,
2011-01-12,,,,,
2011-01-13,,,,,
2011-01-14,,,,,
2011-01-15,,,,,
2011-01-16,,,,,
2011-01-17,,,,,
2011-01-18,,,,,
2011-01-19,,,,,
2011-01-20,,,,,
2011-01-21,,,,,
2011-01-22,,,,,
2011-01-23,,,,,
2011-01-24,,,,,
2011-01-25,,,,,
2011-01-26,,,,,
2011-01-27,,,,,
2011-01-28,,,,,
2011-01-29,,,,,
2011-01-30,,,,,
2011-01-31,,,,,
2011-02-01,,,,,
2011-02-02,,,,,
2011-02-03,,,,,
2011-02-04,,,,,
2011-02-05,,,,,
2011-02-06,,,,,
2011-02-07,,,,,
2011-02-08,,,,,
2011-02-09,,,,,
2011-02-10,,,,,
2011-02-11,,,,,
2011-02-12,,,,,
2011-02-13,,,,,
2011-02-14,,,,,
2011-02-15,,,,,
2011-02-16,,,,,
2011-02-17,,,,,
2011-02-18,,,,,
2011-02-19,1.7335659839456496,1.784575313224401,,1.6903823546427912,1.6847989294001582
2011-02-20,2.286257419913942,1.3077040477467778,0.5570030477186181,1.3077040477467778,2.506328710316043
2011-02-21,1.8060470347970339,1.8371696923083556,0.2658507214510308,1.8371696923083556,1.8740582536868748
2011-02-22,1.3790153479003946,1.2820690004006827,,1.2682993286797224,1.6042256312188419
2011-02-23,1.9353985897252874,1.9281118241010267,1.3996284977460092,1.9281118241010267,1.928222511543161
2011-02-24,2.0001383386411353,1.9890891996713016,0.7917294466079254,1.9890891996713016,1.9060529087333808
2011-02-25,1.579140442562376,1.5595106523661708,1.3598597288442895,1.6151032047184524,1.7782163444119445
2011-02-26,2.171143343759802,2.1387576769777668,1.4437577847487666,2.1387576769777668,2.4354058137482117
2011-02-27,0.8448568981290533,0.8511656889402528,0.030966313793333602,0.8511656889402528,1.19653701739818
2011-02-28,1.724716166728415,2.3462639668599006,2.1749663694830925,2.3462639668599006,1.762637338343123
2011-03-01,1.6539812711989919,1.7595186830332656,1.074241616901306,1.9455368283636962,1.7867411722725473
2011-03-02,1.9576138317120657,3.7615492244370836,1.9979137988516404,5.618137821940853,2.1184875093348867
2011-03-03,2.343586883963717,3.708824941360527,2.959794355391445,3.708824941360527,1.595640403403745
2011-03-04,1.4996359306456384,1.8860199026359687,,2.0561538985044003,1.5612526744205346
2011-03-05,2.002577038405784,2.033798533012955,0.8022404150148484,2.033798533012955,2.2550607193923153
2011-03-06,1.689693438769145,1.6607571554595584,0.7690304713722581,1.7257237820940619,1.866222902028232
2011-03-07,1.711205082827882,1.7118512102782002,2.352048870715769,1.7118512102782002,1.6944356495421553
2011-03-08,2.487833516386413,2.66251306412472,0.3198263247986499,2.66251306412472,2.7414991167436704
2011-03-09,2.9073336846812303,2.896061557743594,,2.823222989321435,3.0821888260865817
2011-03-10,2.266623141923465,2.2430012974273694,0.8044281634727471,2.2430012974273694,2.3410371446384217
2011-03-11,2.2438370127140814,2.2478706944298716,0.845672380377285,2.24747404265365,2.180242288237857
2011-03-12,15.372310693131771,,,,-1.2131733844573303
2011-03-13,1.867300367967158,1.8671305863133507,,2.4381892092828714,1.8503588609361368
2011-03-14,-0.5148262623096788,-0.8150427771503921,,-2.1288168443834676,0.8168926682158022
2011-03-15,32.199718558425865,177.6995377012953,177.6995377012953,,8.354296676687236
2011-03-16,1.875163700983994,1.8278047735943599,,1.8593551867626494,1.7827049901304552
2011-03-17,1.4942639618500022,1.4936200818070602,0.3053011682334983,1.4957071911445632,1.6783608742835237
2011-03-18,1.7063487740502927,1.62807487857711,0.7222319108994488,1.7225082983721294,1.7646978188708096
2011-03-19,2.120928652142297,2.173118549258803,4.862301634570594,2.173118549258803,2.112671016372214
2011-03-20,2.3933059317774603,2.7460150516622055,1.632287244581783,2.8302487449125384,2.1283094701728196
2011-03-21,2.1885383502985194,2.1765991075237707,4.010991337119675,2.1765991075237707,2.1853376004451968
2011-03-22,1.7990060538163932,1.1217187220730296,1.2622749029641285,1.1217187220730296,1.6663335585309529
2011-03-23,1.9701964738704798,1.9010849573243214,0.8714223874003126,2.050056373259246,2.041575479813937
2011-03-24,1.8561543831583955,1.9001234467003756,,1.8314044108439307,2.036511144814007
2011-03-25,2.712560551842365,2.7355298115217708,1.5431389877569013,2.904607867207821,2.786863961274341
2011-03-26,2.3671392578787205,2.453780274380874,1.8811899705030037,2.453780274380874,2.410476261346077
2011-03-27,1.0477479982607636,1.7305850822701865,0.4393785870785025,1.7305850822701865,1.2756043672028783
2011-03-28,1.6299551834777084,1.6469903104899344,0.9456635822565049,1.6469903104899344,1.9614655010667978
2011-03-29,2.2829279501012056,2.043035954159879,4.046724485423999,2.102667947979044,2.2276096720449474
2011-03-30,2.253790657387745,2.425437153701626,1.5301588613097123,2.376346759712641,2.476245564930645
2011-03-31,1.1521801531468274,1.112657552813654,1.133451902963229,1.1250626157132089,1.6500630438520774
2011-04-01,1.2346604460913388,1.2014320649063515,0.5527164694096695,1.2014320649063515,1.9659417283461165
2011-04-02,2.160470941043862,1.7428328655753937,0.8776264983513756,2.0793218365198434,2.2026810585477477
2011-04-03,2.0361727830052216,2.1016897429737513,1.4178104812436156,2.1016897429737513,2.3301504097734687
2011-04-04,1.7597886705833083,1.7734254643320884,4.6505052838643515,1.7734254643320884,2.4087371134846967
2011-04-05,1.576221477698334,1.5877909723001309,0.733865842972468,1.5877909723001309,1.8207868200161637
2011-04-06,1.4884748785861082,1.4196425981018594,2.08414055885149,1.4196425981018594,1.624991054736396
2011-04-07,1.3095720765121042,1.2561750700594936,0.543604370252605,1.2561750700594936,1.3577975738595705
2011-04-08,1.6307009923658669,0.881559261219735,0.3252038678420291,0.881559261219735,1.259842192205812
2011-04-09,1.365721201470557,1.2639605786272208,0.5533364947452591,1.2639605786272208,1.3143461437290096
2011-04-10,1.5850301232101556,1.4117116806780898,,1.3292736839422996,2.1790829588858394
2011-04-11,1.7426189239235685,1.5150933593795854,2.2777556852092222,1.5150933593795854,2.0356380860222614
2011-04-12,1.7508451799074438,1.7267557977182175,7.480543854811831,1.7267557977182175,2.028014144009155
2011-04-13,3.1585700175086537,3.218672450464092,2.3328474166339928,3.452566499838982,3.393240528565097
2011-04-14,1.7989395697093506,3.162033195454981,1.2305208456193666,3.162033195454981,3.11147634022511
2011-04-15,2.1796840402602853,2.437500000472424,0.4785815656683997,2.293747475124794,2.4130877164758537
2011-04-16,2.320199242639663,2.3791129501051045,1.3936042576764007,2.3791129501051045,2.574770807141356
2011-04-17,2.5828464988446678,2.5243294944836707,0.9366652775905189,2.6097194964718593,2.769747835373043
2011-04-18,1.650208060941892,1.586419984884508,1.0435431516745919,1.639385972960759,1.4911439467559704
2011-04-19,2.712056418996014,2.769316307043403,3.6419098996175645,2.8252200868481467,2.872782922911068
2011-04-20,3.4792316125682485,3.805288630830455,2.0869669065547085,4.9127356289099735,3.16743581000061
2011-04-21,2.5830132770658305,3.2428543230333005,1.267901942009469,3.453050383490303,2.671086479803661
2011-04-22,3.213586778681132,7.504662150308077,,7.504662150308077,3.5158795604857938
2011-04-23,2.4163457427338018,2.4122587075172826,1.461192704070501,2.4122587075172826,3.0395250546090944
2011-04-24,3.641337989661542,3.45831177163166,1.8310593227821885,3.45831177163166,3.685966294565158
2011-04-25,2.4923395106536055,2.545675970126835,1.5858175096438887,2.545675970126835,2.5150875996707915
2011-04-26,1.6250464856365494,1.4307227679479864,,1.3879863561769497,2.535266612205247
2011-04-27,2.4833555735795714,1.912447721698056,0.9615268794148375,2.0175544593606145,1.9604367886403304
2011-04-28,2.3144422978858272,2.2165453093079073,,2.119127564073998,2.3570037994091098
2011-04-29,3.114874421451439,4.052358076490914,1.4400292953079035,3.875572266758198,3.765126792962354
2011-04-30,2.4993035991207666,2.4385369790768725,2.3393298606045096,2.4385369790768725,2.6870085931057215
2011-05-01,1.9164275149868366,1.8630096026864102,0.9312846802322403,1.8730074075469276,2.886713646081081
2011-05-02,3.438253535331633,5.356412783665106,2.194015183201186,8.464899438215179,3.562877346041113
2011-05-03,2.5066349212848893,1.3787461644451915,,1.3529565536285983,2.0716680870583004
2011-05-04,2.617124411921568,2.968577804202662,1.5882278597344208,3.231906780279832,2.373666043380021
2011-05-05,1.5162448940836755,1.3784744881477815,1.1635502589853108,1.3784744881477815,1.7403250635153837
2011-05-06,1.8130246788022784,1.64299721573626,1.346051829084829,1.7734063342908541,2.186954332212888
2011-05-07,0.951523947835664,0.8864244331377532,,0.03901655075777624,1.4662967956624617
2011-05-08,2.420047999451937,2.554535455232167,1.0838174491225474,2.764328555845113,2.270588977196398
2011-05-09,1.9267190136805445,1.4836256335558011,1.2158842164044612,1.4785989924133718,1.974878413322771
2011-05-10,2.5636916673667876,1.3949810927068846,1.2553111358220492,1.398598226078302,2.046524502744723
2011-05-11,1.535846699731383,1.4325742787830584,0.7787301841867612,1.451818728349416,1.5278550155352855
2011-05-12,2.163282644285523,1.5991374903320812,1.3175642770387646,1.5699708470371123,2.2110892538435802
2011-05-13,1.8861884966237463,1.4115707012073135,0.9344064033414056,1.3543463387770058,2.0315065756327764
2011-05-14,1.9171593980037438,1.1079544423256869,0.008976584984410183,1.0348924488823255,1.8178734444178593
2011-05-15,1.7235588023815085,1.5487854424418788,1.2303808029056393,1.7508278436941997,2.0469581197145406
2011-05-16,2.06517473613404,2.2982674227267474,0.6512757324862979,2.402371618199464,1.9261951807284114
2011-05-17,1.7229646188107157,1.0687990657242512,0.7170403942870799,1.0784238732670108,1.537862241610916
2011-05-18,1.528273900591197,1.756443606681063,1.2576481458622546,1.607020235645347,1.7101002723357677
2011-05-19,2.194117655200838,1.2373916209959182,1.0240708072204963,1.2709283777307152,2.189458342591417
2011-05-20,2.0079301764218704,1.7284255219985194,0.7074340342017782,1.7284255219985194,1.909763952648247
2011-05-21,1.60348971226529,1.1893935282613466,0.9718929571402519,1.09797056740256,1.5324663023885072
2011-05-22,1.0484278651427172,0.7409262829470497,0.3513466469784852,0.7409262829470497,0.9412881560551285
2011-05-23,1.612555120058191,0.6454093977174531,0.31652253557050447,0.6454093977174531,1.5331397449514903
2011-05-24,0.8363723614816116,0.4447675093668678,0.19621856934705384,0.4447675093668678,0.9208426858551663
2011-05-25,0.9156314806033746,1.208750457254958,,1.0796966032755277,1.091532740466069
2011-05-26,0.9570185224654795,1.0055710617221403,0.8894453653406161,1.0194599670250144,1.0395856537085684
2011-05-27,2.199137900208264,1.6843315844431568,0.5486677700072697,1.6843315844431568,2.1051899726527283
2011-05-28,2.0999645257514317,2.113883266443864,1.0502101972998632,2.113883266443864,2.311457544109071
2011-05-29,2.235790335532868,1.6132427162013732,1.0730354786574776,1.6375767047428231,2.301643974405627
2011-05-30,1.3874004872920542,1.8110069659923884,0.6707103597706655,2.2543361409188343,1.3226960585150696
2011-05-31,1.737357079350911,1.7789822698825588,,1.5987697482798726,1.8117688166926276
2011-06-01,0.7339640158449985,0.8124188259181706,0.1035998416479614,0.8273379338628523,1.0349194370575718
2011-06-02,2.3911539396741315,3.7619492036203366,1.5757719549405254,5.856539979518422,2.4632270138508523
2011-06-03,2.868797228783189,4.287710170727834,1.9400849223587515,4.894908874295275,3.044750084853042
2011-06-04,1.6310223911414947,2.208176588335045,0.8253010300858536,2.208176588335045,2.502260805739234
2011-06-05,3.7764002688889318,3.5229878590589787,1.0690461118356842,3.5229878590589787,3.285988814091847
2011-06-06,1.9048321705778004,1.837447281711301,1.0164420956924045,1.876150243881257,2.577147023758576
2011-06-07,2.2107680322135255,2.1117893508593624,1.0019383999305913,2.029340567476896,1.990082713058244
2011-06-08,3.1719693503001722,4.622842985762433,,6.278268010549552,1.9218594812987742
2011-06-09,3.316976625897417,2.9309712759935462,1.5554319467097575,3.8660010543678482,3.5494293093954328
2011-06-10,3.3505667420455096,60.08585765888141,2.34783348099626,60.08585765888141,
2011-06-11,2.4762409738829287,2.440499222813599,1.1849259248929798,2.610488910886717,3.2613412070448575
2011-06-12,2.6621474705866905,2.456668697362177,1.073794976962548,2.511684204810921,2.933037094489641
2011-06-13,2.5822361457511156,2.5798167466045427,0.9812907788795201,2.8588272320799155,2.673195151364477
2011-06-14,1.8282501792975052,1.2411572724977047,0.6682063722092297,1.1576046224558068,1.9811853048117163
2011-06-15,1.778039539371515,1.228620619719862,0.9565408136874989,1.0625171853942506,2.0054704867804602
2011-06-16,1.8009121923235099,1.9431717927598642,4.676709983703657,1.6870934889627642,1.9560522462787524
2011-06-17,2.7023795125236516,2.1542984668253395,0.7876435794267291,2.3283324275214716,2.4842393414540878
2011-06-18,2.0299293758125345,1.917391400781163,1.5149362038919276,1.917391400781163,2.693505369830812
2011-06-19,2.0649517863502815,2.833326285061636,1.4621216452762533,2.483228794440199,2.068866254934406
2011-06-20,3.9356016832883536,4.020648598617656,1.186047011730299,4.197912819695951,3.3131644027932152
2011-06-21,2.501313496969445,1.7826640954847217,0.8290883895808786,1.7335258675488294,2.0308558139875856
2011-06-22,1.2658281028489506,0.842381831206261,4.640793188383035,0.6690248476343593,1.5034663336288547
2011-06-23,1.7444245414178274,1.8059698674688662,0.8472465145909143,1.8299329427714053,1.7185554607163045
2011-06-24,2.1184370656389095,1.6939106234538477,1.3242396142065929,1.7921002087092897,2.269926743519431
2011-06-25,1.8421222724598918,1.241796916462423,0.4965080627781081,1.2366010728584413,1.9233452348572269
2011-06-26,1.0805214264875562,0.7627883807604127,0.5772518890101145,0.702063102064611,1.102659313867453
2011-06-27,1.6425780116640334,0.9960290003120815,0.8072675706014688,0.9838121044601686,1.6603339026899724
2011-06-28,1.0451910562422249,0.8057595798851805,0.6614882057012673,0.7359524422739802,1.130686234499581
2011-06-29,1.6446328889871378,0.7054883648047963,0.3170885045102903,0.6500506421072171,1.6114167754366344
2011-06-30,1.6213653016869551,1.4348421691051556,0.5217828565171684,2.1983947589993553,1.6785473330830076
2011-07-01,1.1430873557529246,0.9187666817133191,0.6745532594430105,0.9249037363012618,1.212696574776148
2011-07-02,2.0981102057687013,1.2525396017391768,0.8336401930860368,1.249160632810629,2.1210703305248977
2011-07-03,2.219542721025195,1.1526774615357513,0.9768344986622084,1.1771998385168319,2.0370041541894865
2011-07-04,1.381057723867622,0.5783749173415921,0.5598542031781479,-0.6249028859135,1.2506338766844647
2011-07-05,1.4141106598709547,1.104670833412119,0.3724154933268825,1.1040405355507836,1.4823106059183078
2011-07-06,1.960532490047633,2.067852060088303,1.250020355438311,2.067852060088303,1.8904562419430986
2011-07-07,1.4981410559852897,1.1231743133488392,0.46856055350775944,1.1231743133488392,1.4890212159383334
2011-07-08,1.311800037011009,0.771260873812156,0.3548528445132564,0.8683897115128753,1.3025746654434767
2011-07-09,0.7927610381708515,0.6465690161723494,0.829716854904668,0.6466583691523564,0.8472480437419632
2011-07-10,1.5991670631681583,0.8119743971143575,0.36477022683027105,0.9579314240300655,0.9836128494366813
2011-07-11,1.001328513765653,0.7368900057463478,0.3187539304415469,0.7119186622237932,0.9481877006304852
2011-07-12,1.446507364102255,2.037077972818738,0.8842323846384365,9.370855826193164,1.1917991855117398
2011-07-13,0.9854654438767958,0.9162745920176182,0.8823519575641354,0.9504633299789473,1.4872187896217026
2011-07-14,2.6977422208550697,6.68499202727159,3.2063403446978973,8.048045161044755,2.910014552173894
2011-07-15,1.8160782488609277,1.8314548455865725,0.6329689257540707,1.858408957251513,2.2554249142539557
2011-07-16,1.7218076542751655,1.3973766276728576,0.4871515570825977,1.4909516303906807,1.6933161542644004
2011-07-17,1.81672146413166,1.3544519066417307,0.8068887142521934,,1.9234884589793317
2011-07-18,2.770329949678658,1.4718237668744922,0.7070443176183329,1.4718237668744922,1.7395602820061984
2011-07-19,1.2430618796184458,0.7161244468007832,0.7691093834207899,0.7161244468007832,1.1843349108301915
2011-07-20,2.1495796604994215,2.2791498216826698,1.4516378715076443,2.436224703645444,2.2097110911562945
2011-07-21,2.1813551842562853,2.106484065969698,0.9436383326596096,2.4522137925790615,2.411725035350898
2011-07-22,2.972885934863456,2.424290050870813,2.6345751068187795,2.424290050870813,2.533355932630747
2011-07-23,1.706751294746397,1.2397944630812905,0.7809606114567499,1.495133728024714,1.7681275236131955
2011-07-24,2.6476533104715823,2.510842009683528,0.5494598707865714,4.413097979985854,2.8399018795310145
2011-07-25,1.4647266183113563,1.3511534078823693,0.6415129600969284,1.3511534078823693,1.3489740459026116
2011-07-26,1.787255644147605,1.9681294234854827,0.7961477270619043,2.467119133443598,1.8226282812855414
2011-07-27,3.0207626914781227,1.5501005570874398,0.23985911877276644,1.5501005570874398,2.9159287721613403
2011-07-28,1.1541014195299535,0.8315985860648676,0.46518956826398217,0.8767153603996433,1.1724063036299246
2011-07-29,1.7051272354332672,1.9390719147263464,0.6127164470678466,2.355419244446919,1.4267225564671462
2011-07-30,1.5391337012871174,1.4485917075404635,0.3139416206846805,1.4150307015527395,1.686355511028918
2011-07-31,1.9483441665451826,1.4982632664809163,0.7708850193235189,1.4559268651047075,1.5936988834178536
2011-08-01,1.7259124376513135,1.9199076620504776,0.6899046253125707,1.9120212163645418,1.7688871593521347
2011-08-02,1.5582298610151235,1.2067642610313352,0.6019582017670588,1.3234721630124586,1.4168845094805373
2011-08-03,1.4916471048210898,0.962015108475267,0.4501433819263094,1.1697845740980044,1.2954769056059217
2011-08-04,1.101703160432328,0.797182304410545,0.8051604648931557,0.8324924970490163,1.1505707769168352
2011-08-05,1.0824160100545217,0.8161234809229077,0.35604605660450694,0.8005726297178295,1.0533695341011728
2011-08-06,1.281895607851989,1.261923688735158,0.7464858929403744,1.3199574025315963,1.5752361642600925
2011-08-07,1.0260628589124494,1.0281584236591728,0.409316365145091,1.1787220818451947,1.0958774500264064
2011-08-08,1.5377499498970426,1.0761000267923293,0.5362881101379452,1.1969616595333883,1.3086184176373286
2011-08-09,0.9436780945805584,0.9391427949911005,0.3553455087714649,1.4087988913309224,0.802863940119499
2011-08-10,0.9360957519760217,0.9090622711594327,0.6474470643284327,0.9090622711594327,0.9222723781746125
2011-08-11,0.7527919433153877,0.9333976541205377,0.4333687426211023,0.9529166435542877,0.8035040319057
2011-08-12,0.67802211878629,0.6664851142349795,0.2778213470911863,0.6664851142349795,0.6674586635951593
2011-08-13,0.670252586542021,0.5065444507228829,0.6172933659539717,0.5331337238898358,0.6784748742427181
2011-08-14,0.8342551634308157,0.39461712197055815,0.9622262483069874,0.4048937749907441,0.7380761518019036
2011-08-15,0.6854577414681584,0.7247144567496474,0.2425585301690703,0.785899374164242,0.7208443779132797
2011-08-16,0.5701022828296212,0.5585958565666912,0.6157164886558979,0.55490666738764,0.6017760649840095
2011-08-17,0.4200703597965988,0.43648078447329774,0.4267660562275915,0.444338351096354,0.4171911485681221
2011-08-18,0.7459514514368567,0.8219406087587059,0.5384714713719898,0.8214051289196767,0.7237614820667476
2011-08-19,0.35715245559515807,0.33964623804835753,0.20069837415573727,0.33964623804835753,0.3233416240091119
2011-08-20,0.4005405510171468,0.40357515644280595,0.2729950749253323,0.38961341274090294,0.36356395515093637
2011-08-21,0.3401445564878349,0.3605570938932413,0.13863354500039388,0.39391291976963205,0.3136783268820233
