date,sunrise_hour,sunset_hour,daylength
2008-01-01,7,18,11
2008-01-02,8,18,10
2008-01-03,8,18,10
2008-01-04,8,18,10
2008-01-05,8,18,10
2008-01-06,8,18,10
2008-01-07,8,18,10
2008-01-08,8,18,10
2008-01-09,8,18,10
2008-01-10,8,18,10
2008-01-11,8,18,10
2008-01-12,8,18,10
2008-01-13,8,18,10
2008-01-14,8,18,10
2008-01-15,8,18,10
2008-01-16,8,18,10
2008-01-17,8,18,10
2008-01-18,8,18,10
2008-01-19,8,18,10
2008-01-20,8,18,10
2008-01-21,8,18,10
2008-01-22,7,18,11
2008-01-23,7,18,11
2008-01-24,7,18,11
2008-01-25,7,18,11
2008-01-26,7,18,11
2008-01-27,7,18,11
2008-01-28,7,18,11
2008-01-29,7,18,11
2008-01-30,7,18,11
2008-01-31,7,18,11
2008-02-01,7,18,11
2008-02-02,7,18,11
2008-02-03,7,18,11
2008-02-04,7,18,11
2008-02-05,7,18,11
2008-02-06,7,18,11
2008-02-07,7,18,11
2008-02-08,7,18,11
2008-02-09,7,18,11
2008-02-10,7,18,11
2008-02-11,7,18,11
2008-02-12,7,18,11
2008-02-13,7,18,11
2008-02-14,7,18,11
2008-02-15,7,18,11
2008-02-16,7,18,11
2008-02-17,7,18,11
2008-02-18,7,19,12
2008-02-19,7,19,12
2008-02-20,7,19,12
2008-02-21,7,19,12
2008-02-22,7,19,12
2008-02-23,7,19,12
2008-02-24,7,19,12
2008-02-25,7,19,12
2008-02-26,7,19,12
2008-02-27,7,19,12
2008-02-28,7,19,12
2008-02-29,7,19,12
2008-03-01,7,19,12
2008-03-02,7,19,12
2008-03-03,7,19,12
2008-03-04,7,19,12
2008-03-05,7,19,12
2008-03-06,7,19,12
2008-03-07,7,19,12
2008-03-08,7,19,12
2008-03-09,7,19,12
2008-03-10,7,19,12
2008-03-11,7,19,12
2008-03-12,7,19,12
2008-03-13,7,19,12
2008-03-14,7,19,12
2008-03-15,7,19,12
2008-03-16,7,19,12
2008-03-17,7,19,12
2008-03-18,7,19,12
2008-03-19,7,19,12
2008-03-20,7,19,12
2008-03-21,7,19,12
2008-03-22,7,19,12
2008-03-23,7,19,12
2008-03-24,7,19,12
2008-03-25,7,19,12
2008-03-26,7,19,12
2008-03-27,7,19,12
2008-03-28,7,19,12
2008-03-29,7,19,12
2008-03-30,7,20,13
2008-03-31,7,20,13
2008-04-01,7,20,13
2008-04-02,7,20,13
2008-04-03,7,20,13
2008-04-04,7,20,13
2008-04-05,7,20,13
2008-04-06,7,20,13
