date,sunrise_hour,sunset_hour,daylength
2007-01-01,8,18,10
2007-01-02,8,18,10
2007-01-03,8,18,10
2007-01-04,8,18,10
2007-01-05,8,18,10
2007-01-06,8,18,10
2007-01-07,8,18,10
2007-01-08,8,18,10
2007-01-09,8,18,10
2007-01-10,8,18,10
2007-01-11,8,18,10
2007-01-12,8,18,10
2007-01-13,8,18,10
2007-01-14,8,18,10
2007-01-15,8,18,10
2007-01-16,8,18,10
2007-01-17,8,18,10
2007-01-18,8,18,10
2007-01-19,8,18,10
2007-01-20,8,18,10
2007-01-21,8,18,10
2007-01-22,8,18,10
2007-01-23,8,18,10
2007-01-24,8,18,10
2007-01-25,8,18,10
2007-01-26,8,18,10
2007-01-27,8,18,10
2007-01-28,8,18,10
2007-01-29,8,18,10
2007-01-30,8,18,10
2007-01-31,8,18,10
2007-02-01,8,18,10
2007-02-02,8,18,10
2007-02-03,8,18,10
2007-02-04,8,18,10
2007-02-05,8,18,10
2007-02-06,8,18,10
2007-02-07,8,18,10
2007-02-08,8,18,10
2007-02-09,8,18,10
2007-02-10,8,18,10
2007-02-11,8,18,10
2007-02-12,8,18,10
2007-02-13,8,18,10
2007-02-14,8,18,10
2007-02-15,8,18,10
2007-02-16,8,19,11
2007-02-17,8,19,11
2007-02-18,8,19,11
2007-02-19,8,19,11
2007-02-20,8,19,11
2007-02-21,8,19,11
2007-02-22,8,19,11
2007-02-23,8,19,11
2007-02-24,8,19,11
2007-02-25,8,19,11
2007-02-26,8,19,11
2007-02-27,8,19,11
2007-02-28,8,19,11
2007-03-01,8,19,11
2007-03-02,7,19,12
2007-03-03,7,19,12
2007-03-04,7,19,12
2007-03-05,7,19,12
2007-03-06,7,19,12
2007-03-07,7,19,12
2007-03-08,7,19,12
2007-03-09,7,19,12
2007-03-10,7,19,12
2007-03-11,7,19,12
2007-03-12,7,19,12
2007-03-13,7,19,12
2007-03-14,7,19,12
2007-03-15,7,19,12
2007-03-16,7,19,12
2007-03-17,7,19,12
2007-03-18,7,19,12
2007-03-19,7,19,12
2007-03-20,7,19,12
2007-03-21,7,19,12
2007-03-22,7,19,12
2007-03-23,7,19,12
2007-03-24,7,19,12
2007-03-25,8,20,12
2007-03-26,8,20,12
2007-03-27,8,20,12
2007-03-28,8,20,12
2007-03-29,8,20,12
2007-03-30,8,20,12
2007-03-31,8,20,12
2007-04-01,8,20,12
2007-04-02,8,20,12
2007-04-03,8,20,12
2007-04-04,8,20,12
2007-04-05,8,20,12
