date,sunrise_hour,sunset_hour,daylength
2003-01-01,9,15,6
2003-01-02,9,15,6
2003-01-03,9,15,6
2003-01-04,8,15,7
2003-01-05,8,15,7
2003-01-06,8,15,7
2003-01-07,8,15,7
2003-01-08,8,15,7
2003-01-09,8,15,7
2003-01-10,8,16,8
2003-01-11,8,16,8
2003-01-12,8,16,8
2003-01-13,8,16,8
2003-01-14,8,16,8
2003-01-15,8,16,8
2003-01-16,8,16,8
2003-01-17,8,16,8
2003-01-18,8,16,8
2003-01-19,8,16,8
2003-01-20,8,16,8
2003-01-21,8,16,8
2003-01-22,8,16,8
2003-01-23,8,16,8
2003-01-24,8,16,8
2003-01-25,8,16,8
2003-01-26,8,16,8
2003-01-27,8,16,8
2003-01-28,8,16,8
2003-01-29,8,16,8
2003-01-30,8,16,8
2003-01-31,8,16,8
2003-02-01,8,16,8
2003-02-02,8,16,8
2003-02-03,8,16,8
2003-02-04,8,16,8
2003-02-05,8,16,8
2003-02-06,8,16,8
2003-02-07,8,17,9
2003-02-08,8,17,9
2003-02-09,8,17,9
2003-02-10,8,17,9
2003-02-11,8,17,9
2003-02-12,7,17,10
2003-02-13,7,17,10
2003-02-14,7,17,10
2003-02-15,7,17,10
2003-02-16,7,17,10
2003-02-17,7,17,10
2003-02-18,7,17,10
2003-02-19,7,17,10
2003-02-20,7,17,10
2003-02-21,7,17,10
2003-02-22,7,17,10
2003-02-23,7,17,10
2003-02-24,7,17,10
2003-02-25,7,17,10
2003-02-26,7,17,10
2003-02-27,7,17,10
2003-02-28,7,17,10
2003-03-01,7,17,10
2003-03-02,7,17,10
2003-03-03,7,17,10
2003-03-04,7,17,10
2003-03-05,7,18,11
2003-03-06,7,18,11
2003-03-07,6,18,12
2003-03-08,6,18,12
2003-03-09,6,18,12
2003-03-10,6,18,12
2003-03-11,6,18,12
2003-03-12,6,18,12
2003-03-13,6,18,12
2003-03-14,6,18,12
2003-03-15,6,18,12
2003-03-16,6,18,12
2003-03-17,6,18,12
2003-03-18,6,18,12
2003-03-19,6,18,12
2003-03-20,6,18,12
2003-03-21,6,18,12
2003-03-22,6,18,12
2003-03-23,6,18,12
2003-03-24,6,18,12
2003-03-25,6,18,12
2003-03-26,6,18,12
2003-03-27,6,18,12
2003-03-28,6,18,12
2003-03-29,5,18,13
2003-03-30,6,19,13
2003-03-31,6,19,13
2003-04-01,6,19,13
2003-04-02,6,20,14
2003-04-03,6,20,14
2003-04-04,6,20,14
2003-04-05,6,20,14
2003-04-06,6,20,14
2003-04-07,6,20,14
2003-04-08,6,20,14
2003-04-09,6,20,14
2003-04-10,6,20,14
2003-04-11,6,20,14
2003-04-12,6,20,14
2003-04-13,6,20,14
2003-04-14,6,20,14
2003-04-15,6,20,14
2003-04-16,6,20,14
2003-04-17,6,20,14
2003-04-18,6,20,14
2003-04-19,6,20,14
2003-04-20,5,20,15
2003-04-21,5,20,15
2003-04-22,5,20,15
2003-04-23,5,20,15
2003-04-24,5,20,15
2003-04-25,5,20,15
2003-04-26,5,20,15
2003-04-27,5,20,15
2003-04-28,5,20,15
2003-04-29,5,20,15
2003-04-30,5,21,16
2003-05-01,5,21,16
2003-05-02,5,21,16
2003-05-03,5,21,16
2003-05-04,5,21,16
2003-05-05,5,21,16
2003-05-06,5,21,16
2003-05-07,5,21,16
2003-05-08,5,21,16
2003-05-09,5,21,16
2003-05-10,5,21,16
2003-05-11,5,21,16
2003-05-12,5,21,16
2003-05-13,5,21,16
2003-05-14,5,21,16
2003-05-15,5,21,16
2003-05-16,4,21,17
2003-05-17,4,21,17
2003-05-18,4,21,17
2003-05-19,4,21,17
2003-05-20,4,21,17
2003-05-21,4,21,17
2003-05-22,4,21,17
2003-05-23,4,21,17
2003-05-24,4,21,17
2003-05-25,4,21,17
2003-05-26,4,21,17
2003-05-27,4,21,17
2003-05-28,4,21,17
2003-05-29,4,21,17
2003-05-30,4,22,18
2003-05-31,4,22,18
2003-06-01,4,22,18
2003-06-02,4,22,18
2003-06-03,4,22,18
2003-06-04,4,22,18
2003-06-05,4,22,18
2003-06-06,4,22,18
