date,sunrise_hour,sunset_hour,daylength
2013-01-01,6,18,12
2013-01-02,6,18,12
2013-01-03,6,18,12
2013-01-04,6,18,12
2013-01-05,6,18,12
2013-01-06,6,18,12
2013-01-07,6,18,12
2013-01-08,6,18,12
2013-01-09,6,18,12
2013-01-10,6,18,12
2013-01-11,6,18,12
2013-01-12,6,18,12
2013-01-13,6,18,12
2013-01-14,6,18,12
2013-01-15,6,18,12
2013-01-16,6,18,12
2013-01-17,6,18,12
2013-01-18,6,18,12
2013-01-19,6,18,12
2013-01-20,6,18,12
2013-01-21,6,18,12
2013-01-22,6,18,12
2013-01-23,6,18,12
2013-01-24,6,18,12
2013-01-25,6,18,12
2013-01-26,6,18,12
2013-01-27,6,18,12
2013-01-28,6,18,12
2013-01-29,6,18,12
2013-01-30,6,18,12
2013-01-31,6,18,12
2013-02-01,6,18,12
2013-02-02,6,18,12
2013-02-03,6,18,12
2013-02-04,6,18,12
2013-02-05,6,18,12
2013-02-06,6,18,12
2013-02-07,6,18,12
2013-02-08,6,18,12
2013-02-09,6,18,12
2013-02-10,6,18,12
2013-02-11,6,18,12
2013-02-12,6,18,12
2013-02-13,6,18,12
2013-02-14,6,18,12
2013-02-15,6,18,12
2013-02-16,6,18,12
2013-02-17,6,18,12
2013-02-18,6,18,12
2013-02-19,6,18,12
2013-02-20,6,18,12
2013-02-21,6,18,12
2013-02-22,6,18,12
2013-02-23,6,18,12
2013-02-24,6,18,12
2013-02-25,6,18,12
2013-02-26,6,18,12
2013-02-27,6,18,12
2013-02-28,6,18,12
2013-03-01,6,18,12
2013-03-02,6,18,12
2013-03-03,6,18,12
2013-03-04,6,18,12
2013-03-05,6,18,12
2013-03-06,6,18,12
2013-03-07,6,18,12
2013-03-08,6,18,12
2013-03-09,6,18,12
2013-03-10,6,18,12
2013-03-11,6,18,12
2013-03-12,6,18,12
2013-03-13,6,18,12
2013-03-14,6,18,12
2013-03-15,6,18,12
2013-03-16,6,18,12
2013-03-17,6,18,12
2013-03-18,6,18,12
2013-03-19,6,18,12
2013-03-20,6,18,12
2013-03-21,6,18,12
2013-03-22,6,18,12
2013-03-23,6,18,12
2013-03-24,6,18,12
2013-03-25,6,18,12
2013-03-26,6,18,12
2013-03-27,6,18,12
2013-03-28,6,18,12
2013-03-29,6,18,12
2013-03-30,6,18,12
2013-03-31,6,18,12
2013-04-01,6,18,12
2013-04-02,6,18,12
2013-04-03,6,18,12
2013-04-04,6,18,12
2013-04-05,6,18,12
2013-04-06,6,18,12
2013-04-07,6,18,12
2013-04-08,6,18,12
2013-04-09,6,18,12
2013-04-10,6,18,12
2013-04-11,6,18,12
2013-04-12,6,18,12
2013-04-13,6,18,12
2013-04-14,6,18,12
2013-04-15,6,18,12
2013-04-16,6,18,12
2013-04-17,6,18,12
2013-04-18,6,18,12
2013-04-19,6,18,12
2013-04-20,6,18,12
2013-04-21,6,18,12
2013-04-22,6,18,12
2013-04-23,6,18,12
2013-04-24,6,18,12
2013-04-25,6,18,12
2013-04-26,6,18,12
2013-04-27,6,18,12
2013-04-28,6,18,12
2013-04-29,6,18,12
2013-04-30,6,18,12
2013-05-01,6,18,12
2013-05-02,6,18,12
2013-05-03,6,18,12
2013-05-04,6,18,12
2013-05-05,6,18,12
2013-05-06,6,18,12
2013-05-07,6,18,12
2013-05-08,6,18,12
2013-05-09,6,18,12
2013-05-10,6,18,12
2013-05-11,6,18,12
2013-05-12,6,18,12
2013-05-13,6,18,12
2013-05-14,6,18,12
2013-05-15,6,18,12
2013-05-16,6,18,12
2013-05-17,6,18,12
2013-05-18,6,18,12
2013-05-19,6,18,12
2013-05-20,6,18,12
2013-05-21,6,18,12
2013-05-22,6,18,12
2013-05-23,6,18,12
2013-05-24,6,18,12
2013-05-25,6,18,12
2013-05-26,6,18,12
2013-05-27,6,18,12
2013-05-28,6,18,12
2013-05-29,6,18,12
2013-05-30,6,18,12
2013-05-31,6,18,12
2013-06-01,6,18,12
2013-06-02,6,18,12
2013-06-03,6,18,12
