date,sunrise_hour,sunset_hour,daylength
2007-01-01,5,18,13
2007-01-02,5,18,13
2007-01-03,5,18,13
2007-01-04,5,18,13
2007-01-05,6,18,12
2007-01-06,6,18,12
2007-01-07,6,18,12
2007-01-08,6,18,12
2007-01-09,6,18,12
2007-01-10,6,18,12
2007-01-11,6,18,12
2007-01-12,6,18,12
2007-01-13,6,18,12
2007-01-14,6,18,12
2007-01-15,6,18,12
2007-01-16,6,18,12
2007-01-17,6,18,12
2007-01-18,6,18,12
2007-01-19,6,18,12
2007-01-20,6,18,12
2007-01-21,6,18,12
2007-01-22,6,18,12
2007-01-23,6,18,12
2007-01-24,6,18,12
2007-01-25,6,18,12
2007-01-26,6,18,12
2007-01-27,6,18,12
2007-01-28,6,18,12
2007-01-29,6,18,12
2007-01-30,6,18,12
2007-01-31,6,18,12
2007-02-01,6,18,12
2007-02-02,6,18,12
2007-02-03,6,18,12
2007-02-04,6,18,12
2007-02-05,6,18,12
2007-02-06,6,18,12
2007-02-07,6,18,12
2007-02-08,6,18,12
2007-02-09,6,18,12
2007-02-10,6,18,12
2007-02-11,6,18,12
2007-02-12,6,18,12
2007-02-13,6,18,12
2007-02-14,6,18,12
2007-02-15,6,18,12
2007-02-16,6,18,12
2007-02-17,6,18,12
2007-02-18,6,18,12
2007-02-19,6,18,12
2007-02-20,6,18,12
2007-02-21,6,18,12
2007-02-22,6,18,12
2007-02-23,6,18,12
2007-02-24,6,18,12
2007-02-25,6,18,12
2007-02-26,6,18,12
2007-02-27,6,18,12
2007-02-28,6,18,12
2007-03-01,6,18,12
2007-03-02,6,18,12
2007-03-03,6,18,12
2007-03-04,6,18,12
2007-03-05,6,18,12
2007-03-06,6,18,12
2007-03-07,6,18,12
2007-03-08,6,18,12
2007-03-09,6,18,12
2007-03-10,6,18,12
2007-03-11,6,18,12
2007-03-12,6,18,12
2007-03-13,6,18,12
2007-03-14,6,18,12
2007-03-15,6,18,12
2007-03-16,6,18,12
2007-03-17,6,18,12
2007-03-18,6,18,12
2007-03-19,6,18,12
2007-03-20,6,18,12
2007-03-21,6,18,12
2007-03-22,6,18,12
2007-03-23,6,18,12
2007-03-24,6,18,12
2007-03-25,6,18,12
2007-03-26,6,18,12
2007-03-27,6,18,12
2007-03-28,6,18,12
2007-03-29,6,18,12
2007-03-30,6,18,12
2007-03-31,6,18,12
2007-04-01,6,18,12
2007-04-02,6,18,12
2007-04-03,6,18,12
2007-04-04,6,18,12
2007-04-05,6,18,12
2007-04-06,6,18,12
2007-04-07,6,18,12
2007-04-08,6,18,12
2007-04-09,6,18,12
2007-04-10,6,18,12
2007-04-11,5,18,13
2007-04-12,5,18,13
2007-04-13,5,18,13
2007-04-14,5,18,13
2007-04-15,5,18,13
2007-04-16,5,18,13
2007-04-17,5,18,13
2007-04-18,5,18,13
2007-04-19,5,18,13
2007-04-20,5,18,13
2007-04-21,5,18,13
2007-04-22,5,18,13
2007-04-23,5,18,13
2007-04-24,5,18,13
2007-04-25,5,18,13
2007-04-26,5,18,13
2007-04-27,5,18,13
2007-04-28,5,18,13
2007-04-29,5,18,13
2007-04-30,5,18,13
2007-05-01,5,18,13
2007-05-02,5,18,13
2007-05-03,5,18,13
2007-05-04,5,18,13
2007-05-05,5,17,12
2007-05-06,5,17,12
2007-05-07,5,17,12
2007-05-08,5,17,12
2007-05-09,5,17,12
2007-05-10,5,17,12
2007-05-11,5,17,12
2007-05-12,5,17,12
2007-05-13,5,17,12
2007-05-14,5,17,12
2007-05-15,5,17,12
2007-05-16,5,17,12
2007-05-17,5,17,12
2007-05-18,5,17,12
2007-05-19,5,17,12
2007-05-20,5,17,12
2007-05-21,5,17,12
2007-05-22,5,17,12
2007-05-23,5,17,12
2007-05-24,5,17,12
2007-05-25,5,17,12
2007-05-26,5,17,12
2007-05-27,5,17,12
2007-05-28,5,18,13
2007-05-29,5,18,13
2007-05-30,5,18,13
2007-05-31,5,18,13
2007-06-01,5,18,13
2007-06-02,5,18,13
2007-06-03,5,18,13
2007-06-04,5,18,13
2007-06-05,5,18,13
2007-06-06,5,18,13
2007-06-07,5,18,13
2007-06-08,5,18,13
2007-06-09,5,18,13
2007-06-10,5,18,13
2007-06-11,6,18,12
2007-06-12,6,18,12
2007-06-13,6,18,12
