date,sunrise_hour,sunset_hour,daylength
2016-01-01,7,16,9
2016-01-02,7,16,9
2016-01-03,7,16,9
2016-01-04,7,16,9
2016-01-05,7,16,9
2016-01-06,7,16,9
2016-01-07,7,16,9
2016-01-08,7,16,9
2016-01-09,7,16,9
2016-01-10,7,16,9
2016-01-11,7,16,9
2016-01-12,7,16,9
2016-01-13,7,16,9
2016-01-14,7,16,9
2016-01-15,7,16,9
2016-01-16,7,16,9
2016-01-17,7,16,9
2016-01-18,7,16,9
2016-01-19,7,16,9
2016-01-20,7,16,9
2016-01-21,7,16,9
2016-01-22,7,16,9
2016-01-23,6,16,10
2016-01-24,6,16,10
2016-01-25,6,16,10
2016-01-26,6,16,10
2016-01-27,6,16,10
2016-01-28,6,16,10
2016-01-29,6,16,10
2016-01-30,6,16,10
2016-01-31,6,16,10
2016-02-01,6,16,10
2016-02-02,6,16,10
2016-02-03,6,16,10
2016-02-04,6,16,10
2016-02-05,6,16,10
2016-02-06,6,16,10
2016-02-07,6,16,10
2016-02-08,6,16,10
2016-02-09,6,16,10
2016-02-10,6,16,10
2016-02-11,6,16,10
2016-02-12,6,17,11
2016-02-13,6,17,11
2016-02-14,6,17,11
2016-02-15,6,17,11
2016-02-16,6,17,11
2016-02-17,6,17,11
2016-02-18,6,17,11
2016-02-19,6,17,11
2016-02-20,6,17,11
2016-02-21,6,17,11
2016-02-22,6,17,11
2016-02-23,6,17,11
2016-02-24,6,17,11
2016-02-25,6,17,11
2016-02-26,6,17,11
2016-02-27,6,17,11
2016-02-28,6,17,11
2016-02-29,6,17,11
2016-03-01,6,17,11
2016-03-02,6,17,11
2016-03-03,6,17,11
2016-03-04,6,17,11
2016-03-05,6,17,11
2016-03-06,6,17,11
2016-03-07,6,17,11
2016-03-08,6,17,11
2016-03-09,5,17,12
2016-03-10,5,17,12
2016-03-11,5,17,12
2016-03-12,5,17,12
2016-03-13,5,17,12
2016-03-14,5,17,12
2016-03-15,5,17,12
2016-03-16,5,17,12
2016-03-17,5,17,12
2016-03-18,5,17,12
2016-03-19,5,17,12
2016-03-20,5,17,12
2016-03-21,5,17,12
2016-03-22,5,17,12
2016-03-23,5,17,12
2016-03-24,5,17,12
2016-03-25,5,17,12
2016-03-26,5,17,12
2016-03-27,5,17,12
2016-03-28,5,17,12
2016-03-29,5,17,12
2016-03-30,5,17,12
2016-03-31,5,17,12
2016-04-01,5,18,13
2016-04-02,5,18,13
2016-04-03,5,18,13
2016-04-04,5,18,13
2016-04-05,5,18,13
2016-04-06,5,18,13
2016-04-07,5,18,13
2016-04-08,5,18,13
2016-04-09,5,18,13
2016-04-10,5,18,13
2016-04-11,5,18,13
2016-04-12,4,18,14
2016-04-13,4,18,14
2016-04-14,4,18,14
2016-04-15,4,18,14
2016-04-16,4,18,14
2016-04-17,4,18,14
2016-04-18,4,18,14
2016-04-19,4,18,14
2016-04-20,4,18,14
2016-04-21,4,18,14
2016-04-22,4,18,14
2016-04-23,4,18,14
2016-04-24,4,18,14
2016-04-25,4,18,14
2016-04-26,4,18,14
2016-04-27,4,18,14
2016-04-28,4,18,14
2016-04-29,4,18,14
2016-04-30,4,18,14
2016-05-01,4,18,14
2016-05-02,4,18,14
2016-05-03,4,18,14
2016-05-04,4,18,14
2016-05-05,4,18,14
2016-05-06,4,18,14
2016-05-07,4,18,14
2016-05-08,4,18,14
2016-05-09,4,18,14
2016-05-10,4,18,14
2016-05-11,4,18,14
2016-05-12,4,18,14
2016-05-13,4,18,14
2016-05-14,4,18,14
2016-05-15,4,18,14
2016-05-16,4,18,14
2016-05-17,4,18,14
2016-05-18,4,18,14
2016-05-19,4,18,14
2016-05-20,4,18,14
2016-05-21,4,18,14
2016-05-22,4,18,14
2016-05-23,4,19,15
2016-05-24,4,19,15
2016-05-25,4,19,15
2016-05-26,4,19,15
2016-05-27,4,19,15
2016-05-28,4,19,15
2016-05-29,4,19,15
2016-05-30,4,19,15
2016-05-31,3,19,16
2016-06-01,3,19,16
2016-06-02,3,19,16
2016-06-03,3,19,16
2016-06-04,3,19,16
2016-06-05,3,19,16
2016-06-06,3,19,16
2016-06-07,3,19,16
2016-06-08,3,19,16
2016-06-09,3,19,16
2016-06-10,3,19,16
2016-06-11,3,19,16
2016-06-12,3,19,16
2016-06-13,3,19,16
2016-06-14,3,19,16
2016-06-15,3,19,16
2016-06-16,3,19,16
2016-06-17,3,19,16
2016-06-18,3,19,16
2016-06-19,3,19,16
2016-06-20,3,19,16
2016-06-21,3,19,16
2016-06-22,3,19,16
2016-06-23,3,19,16
2016-06-24,3,19,16
2016-06-25,3,19,16
2016-06-26,3,19,16
2016-06-27,3,19,16
2016-06-28,3,19,16
2016-06-29,3,19,16
2016-06-30,3,19,16
2016-07-01,3,19,16
2016-07-02,4,19,15
2016-07-03,4,19,15
2016-07-04,4,19,15
2016-07-05,4,19,15
2016-07-06,4,19,15
2016-07-07,4,19,15
2016-07-08,4,19,15
2016-07-09,4,19,15
2016-07-10,4,19,15
2016-07-11,4,19,15
2016-07-12,4,19,15
2016-07-13,4,19,15
2016-07-14,4,19,15
2016-07-15,4,19,15
2016-07-16,4,19,15
2016-07-17,4,19,15
2016-07-18,4,19,15
2016-07-19,4,19,15
2016-07-20,4,19,15
2016-07-21,4,19,15
2016-07-22,4,19,15
2016-07-23,4,19,15
2016-07-24,4,19,15
2016-07-25,4,19,15
2016-07-26,4,19,15
2016-07-27,4,19,15
2016-07-28,4,19,15
2016-07-29,4,19,15
2016-07-30,4,18,14
2016-07-31,4,18,14
2016-08-01,4,18,14
2016-08-02,4,18,14
2016-08-03,4,18,14
2016-08-04,4,18,14
2016-08-05,4,18,14
2016-08-06,4,18,14
2016-08-07,4,18,14
2016-08-08,4,18,14
2016-08-09,4,18,14
2016-08-10,4,18,14
2016-08-11,4,18,14
2016-08-12,4,18,14
2016-08-13,4,18,14
2016-08-14,4,18,14
2016-08-15,4,18,14
2016-08-16,4,18,14
2016-08-17,4,18,14
2016-08-18,4,18,14
2016-08-19,4,18,14
2016-08-20,4,18,14
2016-08-21,4,18,14
2016-08-22,4,18,14
2016-08-23,4,18,14
2016-08-24,4,18,14
2016-08-25,4,18,14
2016-08-26,4,18,14
2016-08-27,4,18,14
2016-08-28,4,18,14
2016-08-29,4,18,14
2016-08-30,4,18,14
2016-08-31,4,18,14
2016-09-01,4,18,14
2016-09-02,5,18,13
2016-09-03,5,18,13
2016-09-04,5,18,13
2016-09-05,5,18,13
2016-09-06,5,18,13
2016-09-07,5,18,13
2016-09-08,5,17,12
2016-09-09,5,17,12
2016-09-10,5,17,12
2016-09-11,5,17,12
2016-09-12,5,17,12
2016-09-13,5,17,12
2016-09-14,5,17,12
2016-09-15,5,17,12
2016-09-16,5,17,12
2016-09-17,5,17,12
2016-09-18,5,17,12
2016-09-19,5,17,12
2016-09-20,5,17,12
2016-09-21,5,17,12
2016-09-22,5,17,12
2016-09-23,5,17,12
2016-09-24,5,17,12
2016-09-25,5,17,12
2016-09-26,5,17,12
2016-09-27,5,17,12
2016-09-28,5,17,12
2016-09-29,5,17,12
2016-09-30,5,17,12
2016-10-01,5,17,12
2016-10-02,5,17,12
2016-10-03,5,17,12
2016-10-04,5,17,12
2016-10-05,5,17,12
2016-10-06,5,17,12
2016-10-07,5,17,12
2016-10-08,5,17,12
2016-10-09,5,17,12
2016-10-10,5,17,12
2016-10-11,5,17,12
2016-10-12,5,16,11
2016-10-13,5,16,11
2016-10-14,5,16,11
2016-10-15,5,16,11
2016-10-16,5,16,11
2016-10-17,5,16,11
2016-10-18,5,16,11
2016-10-19,5,16,11
2016-10-20,5,16,11
2016-10-21,5,16,11
2016-10-22,5,16,11
2016-10-23,5,16,11
2016-10-24,5,16,11
2016-10-25,6,16,10
2016-10-26,6,16,10
2016-10-27,6,16,10
2016-10-28,6,16,10
2016-10-29,6,16,10
2016-10-30,6,16,10
2016-10-31,6,16,10
2016-11-01,6,16,10
2016-11-02,6,16,10
2016-11-03,6,16,10
2016-11-04,6,16,10
2016-11-05,6,16,10
2016-11-06,6,16,10
2016-11-07,6,16,10
2016-11-08,6,16,10
2016-11-09,6,16,10
2016-11-10,6,16,10
2016-11-11,6,16,10
2016-11-12,6,16,10
2016-11-13,6,16,10
2016-11-14,6,16,10
2016-11-15,6,16,10
2016-11-16,6,16,10
2016-11-17,6,16,10
2016-11-18,6,16,10
2016-11-19,6,16,10
2016-11-20,6,16,10
2016-11-21,6,16,10
2016-11-22,6,16,10
2016-11-23,6,16,10
2016-11-24,6,16,10
2016-11-25,6,16,10
2016-11-26,6,16,10
2016-11-27,6,16,10
2016-11-28,6,16,10
2016-11-29,6,16,10
2016-11-30,6,16,10
2016-12-01,6,16,10
2016-12-02,6,16,10
2016-12-03,6,16,10
2016-12-04,6,16,10
2016-12-05,6,16,10
2016-12-06,6,16,10
2016-12-07,6,16,10
2016-12-08,6,16,10
2016-12-09,6,16,10
2016-12-10,6,16,10
2016-12-11,6,16,10
2016-12-12,6,16,10
2016-12-13,6,16,10
2016-12-14,6,16,10
2016-12-15,7,16,9
2016-12-16,7,16,9
2016-12-17,7,16,9
2016-12-18,7,16,9
2016-12-19,7,16,9
2016-12-20,7,16,9
2016-12-21,7,16,9
2016-12-22,7,16,9
2016-12-23,7,16,9
2016-12-24,7,16,9
2016-12-25,7,16,9
2016-12-26,7,16,9
2016-12-27,7,16,9
2016-12-28,7,16,9
2016-12-29,7,16,9
2016-12-30,7,16,9
2016-12-31,7,16,9
