date,sunrise_hour,sunset_hour,daylength
2015-01-01,5,18,13
2015-01-02,5,18,13
2015-01-03,5,18,13
2015-01-04,5,18,13
2015-01-05,5,18,13
2015-01-06,5,18,13
2015-01-07,5,18,13
2015-01-08,5,18,13
2015-01-09,5,18,13
2015-01-10,5,18,13
2015-01-11,5,18,13
2015-01-12,5,18,13
2015-01-13,5,18,13
2015-01-14,5,18,13
2015-01-15,5,18,13
2015-01-16,5,18,13
2015-01-17,5,18,13
2015-01-18,5,18,13
2015-01-19,5,18,13
2015-01-20,5,18,13
2015-01-21,5,18,13
2015-01-22,5,18,13
2015-01-23,5,18,13
2015-01-24,5,18,13
2015-01-25,5,18,13
2015-01-26,5,18,13
2015-01-27,5,18,13
2015-01-28,5,18,13
2015-01-29,5,18,13
2015-01-30,5,18,13
2015-01-31,5,18,13
2015-02-01,5,18,13
2015-02-02,5,18,13
2015-02-03,5,18,13
2015-02-04,5,18,13
2015-02-05,5,18,13
2015-02-06,5,18,13
2015-02-07,5,18,13
2015-02-08,5,18,13
2015-02-09,5,18,13
2015-02-10,5,18,13
2015-02-11,5,18,13
2015-02-12,5,18,13
2015-02-13,5,18,13
2015-02-14,5,18,13
2015-02-15,5,18,13
2015-02-16,5,18,13
2015-02-17,5,18,13
2015-02-18,5,18,13
2015-02-19,5,18,13
2015-02-20,5,18,13
2015-02-21,5,18,13
2015-02-22,5,18,13
2015-02-23,5,18,13
2015-02-24,5,18,13
2015-02-25,5,18,13
2015-02-26,5,18,13
2015-02-27,5,18,13
2015-02-28,5,18,13
2015-03-01,5,18,13
2015-03-02,5,18,13
2015-03-03,5,18,13
2015-03-04,5,18,13
2015-03-05,5,18,13
2015-03-06,5,18,13
2015-03-07,5,18,13
2015-03-08,5,18,13
2015-03-09,5,18,13
2015-03-10,5,18,13
2015-03-11,5,18,13
2015-03-12,5,18,13
2015-03-13,5,18,13
2015-03-14,5,18,13
2015-03-15,5,18,13
2015-03-16,5,18,13
2015-03-17,5,18,13
2015-03-18,5,18,13
2015-03-19,5,18,13
2015-03-20,5,17,12
2015-03-21,5,17,12
2015-03-22,5,17,12
2015-03-23,5,17,12
2015-03-24,5,17,12
2015-03-25,5,17,12
2015-03-26,5,17,12
2015-03-27,5,17,12
2015-03-28,5,17,12
2015-03-29,5,17,12
2015-03-30,5,17,12
2015-03-31,5,17,12
2015-04-01,5,17,12
2015-04-02,5,17,12
2015-04-03,5,17,12
2015-04-04,5,17,12
2015-04-05,5,17,12
2015-04-06,5,17,12
2015-04-07,5,17,12
2015-04-08,5,17,12
2015-04-09,5,17,12
2015-04-10,5,17,12
2015-04-11,5,17,12
2015-04-12,5,17,12
2015-04-13,5,17,12
2015-04-14,5,17,12
2015-04-15,5,17,12
2015-04-16,5,17,12
2015-04-17,5,17,12
2015-04-18,5,17,12
2015-04-19,5,17,12
2015-04-20,5,17,12
2015-04-21,5,17,12
2015-04-22,5,17,12
2015-04-23,6,17,11
2015-04-24,6,17,11
2015-04-25,6,17,11
2015-04-26,6,17,11
2015-04-27,6,17,11
2015-04-28,6,17,11
2015-04-29,6,17,11
2015-04-30,6,17,11
2015-05-01,6,17,11
2015-05-02,6,17,11
2015-05-03,6,17,11
2015-05-04,6,17,11
2015-05-05,6,17,11
2015-05-06,6,17,11
2015-05-07,6,17,11
2015-05-08,6,17,11
2015-05-09,6,17,11
2015-05-10,6,17,11
2015-05-11,6,17,11
2015-05-12,6,17,11
2015-05-13,6,17,11
2015-05-14,6,17,11
2015-05-15,6,17,11
2015-05-16,6,17,11
2015-05-17,6,17,11
2015-05-18,6,17,11
2015-05-19,6,17,11
2015-05-20,6,17,11
2015-05-21,6,17,11
2015-05-22,6,17,11
2015-05-23,6,17,11
2015-05-24,6,17,11
2015-05-25,6,17,11
2015-05-26,6,17,11
2015-05-27,6,17,11
2015-05-28,6,17,11
2015-05-29,6,17,11
2015-05-30,6,17,11
2015-05-31,6,17,11
2015-06-01,6,17,11
2015-06-02,6,17,11
2015-06-03,6,17,11
2015-06-04,6,17,11
2015-06-05,6,17,11
2015-06-06,6,17,11
2015-06-07,6,17,11
2015-06-08,6,17,11
2015-06-09,6,17,11
2015-06-10,6,17,11
2015-06-11,6,17,11
2015-06-12,6,17,11
2015-06-13,6,17,11
2015-06-14,6,17,11
2015-06-15,6,17,11
2015-06-16,6,17,11
2015-06-17,6,17,11
2015-06-18,6,17,11
2015-06-19,6,17,11
2015-06-20,6,17,11
2015-06-21,6,17,11
2015-06-22,6,17,11
2015-06-23,6,17,11
2015-06-24,6,17,11
2015-06-25,6,17,11
2015-06-26,6,17,11
2015-06-27,6,17,11
2015-06-28,6,17,11
2015-06-29,6,17,11
2015-06-30,6,17,11
2015-07-01,6,17,11
2015-07-02,6,17,11
2015-07-03,6,17,11
2015-07-04,6,17,11
2015-07-05,6,17,11
2015-07-06,6,17,11
2015-07-07,6,17,11
2015-07-08,6,17,11
2015-07-09,6,17,11
2015-07-10,6,17,11
2015-07-11,6,17,11
2015-07-12,6,17,11
2015-07-13,6,17,11
2015-07-14,6,17,11
2015-07-15,6,17,11
2015-07-16,6,17,11
2015-07-17,6,17,11
2015-07-18,6,17,11
2015-07-19,6,17,11
2015-07-20,6,17,11
2015-07-21,6,17,11
2015-07-22,6,17,11
2015-07-23,6,17,11
2015-07-24,6,17,11
2015-07-25,6,17,11
2015-07-26,6,17,11
2015-07-27,6,17,11
2015-07-28,6,17,11
2015-07-29,6,17,11
2015-07-30,6,17,11
2015-07-31,6,17,11
2015-08-01,6,17,11
2015-08-02,6,17,11
2015-08-03,6,17,11
2015-08-04,6,17,11
2015-08-05,6,17,11
2015-08-06,6,17,11
2015-08-07,6,17,11
2015-08-08,6,17,11
2015-08-09,6,17,11
2015-08-10,6,17,11
2015-08-11,6,17,11
2015-08-12,6,17,11
2015-08-13,6,17,11
2015-08-14,6,17,11
2015-08-15,6,17,11
2015-08-16,6,17,11
2015-08-17,6,17,11
2015-08-18,6,17,11
2015-08-19,6,17,11
2015-08-20,6,17,11
2015-08-21,6,17,11
2015-08-22,6,17,11
2015-08-23,6,17,11
2015-08-24,6,17,11
2015-08-25,6,17,11
2015-08-26,6,17,11
2015-08-27,6,17,11
2015-08-28,5,17,12
2015-08-29,5,17,12
2015-08-30,5,17,12
2015-08-31,5,17,12
2015-09-01,5,17,12
2015-09-02,5,17,12
2015-09-03,5,17,12
2015-09-04,5,17,12
2015-09-05,5,17,12
2015-09-06,5,17,12
2015-09-07,5,17,12
2015-09-08,5,17,12
2015-09-09,5,17,12
2015-09-10,5,17,12
2015-09-11,5,17,12
2015-09-12,5,17,12
2015-09-13,5,17,12
2015-09-14,5,17,12
2015-09-15,5,17,12
2015-09-16,5,17,12
2015-09-17,5,17,12
2015-09-18,5,17,12
2015-09-19,5,17,12
2015-09-20,5,17,12
2015-09-21,5,17,12
2015-09-22,5,17,12
2015-09-23,5,17,12
2015-09-24,5,17,12
2015-09-25,5,17,12
2015-09-26,5,17,12
2015-09-27,5,17,12
2015-09-28,5,17,12
2015-09-29,5,17,12
2015-09-30,5,17,12
2015-10-01,5,17,12
2015-10-02,5,17,12
2015-10-03,5,17,12
2015-10-04,5,17,12
2015-10-05,5,17,12
2015-10-06,5,17,12
2015-10-07,5,17,12
2015-10-08,5,17,12
2015-10-09,5,17,12
2015-10-10,5,17,12
2015-10-11,5,17,12
2015-10-12,5,17,12
2015-10-13,5,17,12
2015-10-14,5,17,12
2015-10-15,5,17,12
