date,sunrise_hour,sunset_hour,daylength
2016-01-01,,,
2016-01-02,,,
2016-01-03,,,
2016-01-04,,,
2016-01-05,,,
2016-01-06,,,
2016-01-07,,,
2016-01-08,,,
2016-01-09,,,
2016-01-10,,,
2016-01-11,10.0,11.0,1.0
2016-01-12,10.0,12.0,2.0
2016-01-13,10.0,12.0,2.0
2016-01-14,10.0,12.0,2.0
2016-01-15,10.0,12.0,2.0
2016-01-16,10.0,12.0,2.0
2016-01-17,10.0,12.0,2.0
2016-01-18,9.0,12.0,3.0
2016-01-19,9.0,12.0,3.0
2016-01-20,9.0,13.0,4.0
2016-01-21,9.0,13.0,4.0
2016-01-22,9.0,13.0,4.0
2016-01-23,9.0,13.0,4.0
2016-01-24,9.0,13.0,4.0
2016-01-25,9.0,13.0,4.0
2016-01-26,9.0,13.0,4.0
2016-01-27,9.0,13.0,4.0
2016-01-28,9.0,13.0,4.0
2016-01-29,9.0,13.0,4.0
2016-01-30,8.0,14.0,6.0
2016-01-31,8.0,14.0,6.0
2016-02-01,8.0,14.0,6.0
2016-02-02,8.0,14.0,6.0
2016-02-03,8.0,14.0,6.0
2016-02-04,8.0,14.0,6.0
2016-02-05,8.0,14.0,6.0
2016-02-06,8.0,14.0,6.0
2016-02-07,8.0,14.0,6.0
2016-02-08,8.0,14.0,6.0
2016-02-09,8.0,14.0,6.0
2016-02-10,8.0,14.0,6.0
2016-02-11,8.0,14.0,6.0
2016-02-12,7.0,15.0,8.0
2016-02-13,7.0,15.0,8.0
2016-02-14,7.0,15.0,8.0
2016-02-15,7.0,15.0,8.0
2016-02-16,7.0,15.0,8.0
2016-02-17,7.0,15.0,8.0
2016-02-18,7.0,15.0,8.0
2016-02-19,7.0,15.0,8.0
2016-02-20,7.0,15.0,8.0
2016-02-21,7.0,15.0,8.0
2016-02-22,7.0,15.0,8.0
2016-02-23,7.0,15.0,8.0
2016-02-24,7.0,15.0,8.0
2016-02-25,7.0,15.0,8.0
2016-02-26,6.0,16.0,10.0
2016-02-27,6.0,16.0,10.0
2016-02-28,6.0,16.0,10.0
2016-02-29,6.0,16.0,10.0
2016-03-01,6.0,16.0,10.0
2016-03-02,6.0,16.0,10.0
2016-03-03,6.0,16.0,10.0
2016-03-04,6.0,16.0,10.0
