date,sunrise_hour,sunset_hour,daylength
2016-01-01,9,13,4
2016-01-02,9,13,4
2016-01-03,9,13,4
2016-01-04,9,14,5
2016-01-05,9,14,5
2016-01-06,9,14,5
2016-01-07,9,14,5
2016-01-08,9,14,5
2016-01-09,9,14,5
2016-01-10,9,14,5
2016-01-11,9,14,5
2016-01-12,9,14,5
2016-01-13,9,14,5
2016-01-14,9,14,5
2016-01-15,9,14,5
2016-01-16,9,14,5
2016-01-17,9,14,5
2016-01-18,9,14,5
2016-01-19,9,14,5
2016-01-20,9,14,5
2016-01-21,8,14,6
2016-01-22,8,14,6
2016-01-23,8,14,6
2016-01-24,8,14,6
2016-01-25,8,15,7
2016-01-26,8,15,7
2016-01-27,8,15,7
2016-01-28,8,15,7
2016-01-29,8,15,7
2016-01-30,8,15,7
2016-01-31,8,15,7
2016-02-01,8,15,7
2016-02-02,8,15,7
2016-02-03,8,15,7
2016-02-04,8,15,7
2016-02-05,8,15,7
2016-02-06,8,15,7
2016-02-07,8,15,7
2016-02-08,8,15,7
2016-02-09,8,15,7
2016-02-10,7,15,8
2016-02-11,7,15,8
2016-02-12,7,16,9
2016-02-13,7,16,9
2016-02-14,7,16,9
2016-02-15,7,16,9
2016-02-16,7,16,9
2016-02-17,7,16,9
2016-02-18,7,16,9
2016-02-19,7,16,9
2016-02-20,7,16,9
2016-02-21,7,16,9
2016-02-22,7,16,9
2016-02-23,7,16,9
2016-02-24,7,16,9
2016-02-25,7,16,9
2016-02-26,7,16,9
2016-02-27,7,16,9
2016-02-28,6,16,10
2016-02-29,6,16,10
2016-03-01,6,17,11
2016-03-02,6,17,11
2016-03-03,6,17,11
2016-03-04,6,17,11
2016-03-05,6,17,11
2016-03-06,6,17,11
2016-03-07,6,17,11
2016-03-08,6,17,11
2016-03-09,6,17,11
2016-03-10,6,17,11
2016-03-11,6,17,11
2016-03-12,6,17,11
2016-03-13,6,17,11
2016-03-14,6,17,11
2016-03-15,6,17,11
2016-03-16,5,17,12
2016-03-17,5,17,12
2016-03-18,5,17,12
2016-03-19,5,17,12
2016-03-20,5,17,12
2016-03-21,5,18,13
2016-03-22,5,18,13
2016-03-23,5,18,13
2016-03-24,5,18,13
2016-03-25,5,18,13
2016-03-26,5,18,13
2016-03-27,6,19,13
2016-03-28,6,19,13
2016-03-29,6,19,13
2016-03-30,6,19,13
2016-03-31,6,19,13
2016-04-01,5,19,14
2016-04-02,5,19,14
2016-04-03,5,19,14
2016-04-04,5,19,14
2016-04-05,5,19,14
2016-04-06,5,19,14
2016-04-07,5,19,14
2016-04-08,5,19,14
2016-04-09,5,19,14
2016-04-10,5,20,15
2016-04-11,5,20,15
2016-04-12,5,20,15
2016-04-13,5,20,15
2016-04-14,5,20,15
2016-04-15,5,20,15
2016-04-16,5,20,15
2016-04-17,5,20,15
2016-04-18,4,20,16
2016-04-19,4,20,16
2016-04-20,4,20,16
2016-04-21,4,20,16
2016-04-22,4,20,16
2016-04-23,4,20,16
2016-04-24,4,20,16
2016-04-25,4,20,16
2016-04-26,4,20,16
2016-04-27,4,20,16
2016-04-28,4,20,16
2016-04-29,4,20,16
2016-04-30,4,21,17
2016-05-01,4,21,17
2016-05-02,4,21,17
2016-05-03,4,21,17
2016-05-04,4,21,17
2016-05-05,3,21,18
2016-05-06,3,21,18
2016-05-07,3,21,18
2016-05-08,3,21,18
2016-05-09,3,21,18
2016-05-10,3,21,18
2016-05-11,3,21,18
2016-05-12,3,21,18
2016-05-13,3,21,18
2016-05-14,3,21,18
2016-05-15,3,21,18
2016-05-16,3,21,18
2016-05-17,3,21,18
2016-05-18,3,22,19
2016-05-19,3,22,19
2016-05-20,3,22,19
2016-05-21,3,22,19
2016-05-22,3,22,19
2016-05-23,3,22,19
2016-05-24,2,22,20
2016-05-25,2,22,20
2016-05-26,2,22,20
2016-05-27,2,22,20
2016-05-28,2,22,20
2016-05-29,2,22,20
2016-05-30,2,22,20
2016-05-31,2,22,20
2016-06-01,2,22,20
2016-06-02,2,22,20
2016-06-03,2,22,20
2016-06-04,2,22,20
2016-06-05,2,22,20
2016-06-06,2,22,20
2016-06-07,2,23,21
2016-06-08,2,23,21
2016-06-09,2,23,21
2016-06-10,2,23,21
2016-06-11,2,23,21
2016-06-12,2,23,21
2016-06-13,2,23,21
2016-06-14,2,23,21
2016-06-15,2,23,21
