date,sunrise_hour,sunset_hour,daylength
2006-01-01,6,17,11
2006-01-02,6,17,11
2006-01-03,6,17,11
2006-01-04,6,17,11
2006-01-05,6,17,11
2006-01-06,6,17,11
2006-01-07,6,17,11
2006-01-08,6,17,11
2006-01-09,6,17,11
2006-01-10,6,17,11
2006-01-11,6,17,11
2006-01-12,6,17,11
2006-01-13,6,17,11
2006-01-14,6,17,11
2006-01-15,6,17,11
2006-01-16,6,17,11
2006-01-17,6,17,11
2006-01-18,6,17,11
2006-01-19,6,18,12
2006-01-20,6,18,12
2006-01-21,6,18,12
2006-01-22,6,18,12
2006-01-23,6,18,12
2006-01-24,6,18,12
2006-01-25,6,18,12
2006-01-26,6,18,12
2006-01-27,6,18,12
2006-01-28,6,18,12
2006-01-29,6,18,12
2006-01-30,6,18,12
2006-01-31,6,18,12
2006-02-01,6,18,12
2006-02-02,6,18,12
2006-02-03,6,18,12
2006-02-04,6,18,12
2006-02-05,6,18,12
2006-02-06,6,18,12
2006-02-07,6,18,12
2006-02-08,6,18,12
2006-02-09,6,18,12
2006-02-10,6,18,12
2006-02-11,6,18,12
2006-02-12,6,18,12
2006-02-13,6,18,12
2006-02-14,6,18,12
2006-02-15,6,18,12
2006-02-16,6,18,12
2006-02-17,6,18,12
2006-02-18,6,18,12
2006-02-19,6,18,12
2006-02-20,6,18,12
2006-02-21,6,18,12
2006-02-22,6,18,12
2006-02-23,6,18,12
2006-02-24,6,18,12
2006-02-25,6,18,12
2006-02-26,6,18,12
2006-02-27,6,18,12
2006-02-28,6,18,12
2006-03-01,6,18,12
2006-03-02,6,18,12
2006-03-03,6,18,12
2006-03-04,6,18,12
2006-03-05,6,18,12
2006-03-06,6,18,12
2006-03-07,6,18,12
2006-03-08,6,18,12
2006-03-09,6,18,12
2006-03-10,6,18,12
2006-03-11,6,18,12
2006-03-12,6,18,12
2006-03-13,6,18,12
2006-03-14,6,18,12
2006-03-15,6,18,12
2006-03-16,6,18,12
2006-03-17,6,18,12
2006-03-18,6,18,12
2006-03-19,6,18,12
2006-03-20,6,18,12
2006-03-21,6,18,12
2006-03-22,6,18,12
2006-03-23,6,18,12
2006-03-24,6,18,12
2006-03-25,6,18,12
2006-03-26,6,18,12
2006-03-27,6,18,12
2006-03-28,6,18,12
2006-03-29,6,18,12
2006-03-30,6,18,12
2006-03-31,6,18,12
2006-04-01,6,18,12
2006-04-02,6,18,12
2006-04-03,6,18,12
2006-04-04,6,18,12
2006-04-05,6,18,12
2006-04-06,6,18,12
2006-04-07,6,18,12
2006-04-08,5,18,13
2006-04-09,5,18,13
2006-04-10,5,18,13
2006-04-11,5,18,13
2006-04-12,5,18,13
2006-04-13,5,18,13
2006-04-14,5,18,13
2006-04-15,5,18,13
2006-04-16,5,18,13
2006-04-17,5,18,13
2006-04-18,5,18,13
2006-04-19,5,18,13
2006-04-20,5,18,13
2006-04-21,5,18,13
2006-04-22,5,18,13
2006-04-23,5,18,13
2006-04-24,5,18,13
2006-04-25,5,18,13
2006-04-26,5,18,13
2006-04-27,5,18,13
2006-04-28,5,18,13
2006-04-29,5,18,13
2006-04-30,5,18,13
2006-05-01,5,18,13
2006-05-02,5,18,13
2006-05-03,5,18,13
2006-05-04,5,18,13
2006-05-05,5,18,13
2006-05-06,5,18,13
2006-05-07,5,18,13
2006-05-08,5,18,13
2006-05-09,5,18,13
2006-05-10,5,18,13
2006-05-11,5,18,13
2006-05-12,5,18,13
2006-05-13,5,18,13
2006-05-14,5,18,13
2006-05-15,5,18,13
2006-05-16,5,18,13
2006-05-17,5,18,13
2006-05-18,5,18,13
2006-05-19,5,18,13
2006-05-20,5,18,13
2006-05-21,5,18,13
2006-05-22,5,18,13
2006-05-23,5,18,13
2006-05-24,5,18,13
2006-05-25,5,18,13
2006-05-26,5,18,13
2006-05-27,5,18,13
2006-05-28,5,18,13
2006-05-29,5,18,13
2006-05-30,5,18,13
2006-05-31,5,18,13
2006-06-01,5,18,13
2006-06-02,5,18,13
2006-06-03,5,18,13
2006-06-04,5,18,13
2006-06-05,5,18,13
2006-06-06,5,18,13
2006-06-07,5,18,13
2006-06-08,5,18,13
2006-06-09,5,18,13
2006-06-10,5,18,13
2006-06-11,5,18,13
2006-06-12,5,18,13
2006-06-13,5,18,13
2006-06-14,5,18,13
2006-06-15,5,18,13
2006-06-16,5,18,13
2006-06-17,5,18,13
2006-06-18,5,18,13
2006-06-19,5,18,13
2006-06-20,5,18,13
2006-06-21,5,18,13
2006-06-22,5,18,13
2006-06-23,5,18,13
2006-06-24,5,18,13
2006-06-25,5,18,13
2006-06-26,5,18,13
2006-06-27,5,18,13
2006-06-28,5,18,13
2006-06-29,5,18,13
2006-06-30,5,18,13
2006-07-01,5,18,13
2006-07-02,5,18,13
2006-07-03,5,18,13
2006-07-04,5,18,13
2006-07-05,5,18,13
2006-07-06,5,18,13
2006-07-07,5,18,13
2006-07-08,5,18,13
2006-07-09,5,18,13
2006-07-10,5,18,13
2006-07-11,5,18,13
2006-07-12,5,18,13
2006-07-13,5,18,13
2006-07-14,5,18,13
2006-07-15,5,18,13
2006-07-16,5,18,13
2006-07-17,5,18,13
2006-07-18,5,18,13
2006-07-19,5,18,13
2006-07-20,5,18,13
2006-07-21,5,18,13
2006-07-22,5,18,13
2006-07-23,5,18,13
2006-07-24,5,18,13
2006-07-25,5,18,13
2006-07-26,5,18,13
2006-07-27,5,18,13
2006-07-28,5,18,13
2006-07-29,5,18,13
2006-07-30,5,18,13
2006-07-31,5,18,13
2006-08-01,5,18,13
2006-08-02,5,18,13
2006-08-03,5,18,13
2006-08-04,5,18,13
2006-08-05,5,18,13
2006-08-06,5,18,13
2006-08-07,5,18,13
2006-08-08,5,18,13
2006-08-09,5,18,13
2006-08-10,5,18,13
2006-08-11,5,18,13
2006-08-12,5,18,13
2006-08-13,5,18,13
2006-08-14,5,18,13
2006-08-15,5,18,13
2006-08-16,5,18,13
2006-08-17,5,18,13
2006-08-18,5,18,13
2006-08-19,5,18,13
2006-08-20,5,18,13
2006-08-21,5,18,13
