date,8TPD,4TPD,3TPDnight,3TPDday,hourly
2001-12-31,,,,,
2002-01-01,,,,,
2002-01-02,,,,,
2002-01-03,,,,,
2002-01-04,,,,,
2002-01-05,,,,,
2002-01-06,,,,,
2002-01-07,,,,,
2002-01-08,,,,,
2002-01-09,,,,,
2002-01-10,,,,,
2002-01-11,,,,,
2002-01-12,,,,,
2002-01-13,,,,,
2002-01-14,,,,,
2002-01-15,,,,,
2002-01-16,,,,,
2002-01-17,,,,,
2002-01-18,,,,,
2002-01-19,,,,,
2002-01-20,,,,,
2002-01-21,,,,,
2002-01-22,,,,,
2002-01-23,,,,,
2002-01-24,,,,,
2002-01-25,,,,,
2002-01-26,,,,,
2002-01-27,,,,,
2002-01-28,,,,,
2002-01-29,,,,,
2002-01-30,,,,,
2002-01-31,,,,,
2002-02-01,,,,,
2002-02-02,,,,,
2002-02-03,,,,,
2002-02-04,2.298984583734342,3.4999170234756996,1.553781779078436,3.758732868513016,2.5287568077727456
2002-02-05,2.4513002509672344,1.6085277770225657,,1.6085277770225657,1.7252968088978953
2002-02-06,1.3350359137693248,2.0711490054254287,1.0870037743590324,2.073195564161912,0.5527712044119872
2002-02-07,,,,,
2002-02-08,1.9710571343772327,2.1362794838286736,4.173890104402993,1.9177502677810716,1.918273708533686
2002-02-09,1.3825546336942591,1.438233911943967,1.5712841080766002,1.438233911943967,1.6508885334841092
2002-02-10,2.8634662855381716,,11.407538284752366,,3.4783505281689577
2002-02-11,2.2947051476469142,1.996004290087057,,4.062176177864978,2.519230672320702
2002-02-12,2.729659628467916,2.8252620530693897,1.9224594873496312,2.8252620530693897,2.9424201873520617
2002-02-13,3.1054855744024734,3.486603250059455,5.1058729418469975,3.486603250059455,3.7348871920361013
2002-02-14,2.801353243181069,2.9550072868516257,7.087675811459483,2.9550072868516257,3.026859335884023
2002-02-15,1.8601384196715893,1.8726632920083568,1.3190753799988637,1.8726632920083568,1.9958157580802762
2002-02-16,2.342421215074716,2.3176463303760837,1.7782175479485665,2.3703149619110553,2.5923377449800973
