date,8TPD,4TPD,3TPDnight,3TPDday,hourly
2010-06-16,,,,,
2010-06-17,,,,,
2010-06-18,,,,,
2010-06-19,,,,,
2010-06-20,,,,,
2010-06-21,,,,,
2010-06-22,,,,,
2010-06-23,,,,,
2010-06-24,,,,,
2010-06-25,,,,,
2010-06-26,,,,,
2010-06-27,,,,,
2010-06-28,,,,,
2010-06-29,,,,,
2010-06-30,,,,,
2010-07-01,,,,,
2010-07-02,,,,,
2010-07-03,,,,,
2010-07-04,,,,,
2010-07-05,,,,,
2010-07-06,,,,,
2010-07-07,,,,,
2010-07-08,,,,,
2010-07-09,,,,,
2010-07-10,,,,,
2010-07-11,,,,,
2010-07-12,,,,,
2010-07-13,,,,,
2010-07-14,,,,,
2010-07-15,,,,,
2010-07-16,,,,,
2010-07-17,,,,,
2010-07-18,,,,,
2010-07-19,,,,,
2010-07-20,,,,,
2010-07-21,,,,,
2010-07-22,,,,,
2010-07-23,,,,,
2010-07-24,,,,,
2010-07-25,,,,,
2010-07-26,,,,,
2010-07-27,,,,,
2010-07-28,,,,,
2010-07-29,,,,,
2010-07-30,,,,,
2010-07-31,,,,,
2010-08-01,,,,,
2010-08-02,,,,,
2010-08-03,,,,,
2010-08-04,,,,,
2010-08-05,,,,,
2010-08-06,,,,,
2010-08-07,,,,,
2010-08-08,,,,,
2010-08-09,,,,,
2010-08-10,,,,,
2010-08-11,,,,,
2010-08-12,,,,,
2010-08-13,,,,,
2010-08-14,,,,,
2010-08-15,,,,,
2010-08-16,,,,,
2010-08-17,,,,,
2010-08-18,,,,,
2010-08-19,,,,,
2010-08-20,,,,,
2010-08-21,,,,,
2010-08-22,,,,,
2010-08-23,,,,,
2010-08-24,,,,,
2010-08-25,,,,,
2010-08-26,,,,,
2010-08-27,,,,,
2010-08-28,,,,,
2010-08-29,,,,,
2010-08-30,,,,,
2010-08-31,,,,,
2010-09-01,,,,,
2010-09-02,,,,,
2010-09-03,,,,,
2010-09-04,,,,,
2010-09-05,,,,,
2010-09-06,,,,,
2010-09-07,,,,,
2010-09-08,,,,,
2010-09-09,,,,,
2010-09-10,,,,,
2010-09-11,,,,,
2010-09-12,,,,,
2010-09-13,,,,,
2010-09-14,,,,,
2010-09-15,,,,,
2010-09-16,,,,,
2010-09-17,,,,,
2010-09-18,,,,,
2010-09-19,,,,,
2010-09-20,,,,,
2010-09-21,,,,,
2010-09-22,,,,,
2010-09-23,,,,,
2010-09-24,,,,,
2010-09-25,,,,,
2010-09-26,,,,,
2010-09-27,,,,,
2010-09-28,,,,,
2010-09-29,,,,,
2010-09-30,,,,,
2010-10-01,,,,,
2010-10-02,,,,,
2010-10-03,,,,,
2010-10-04,,,,,
2010-10-05,,,,,
2010-10-06,,,,,
2010-10-07,,,,,
2010-10-08,,,,,
2010-10-09,,,,,
2010-10-10,,,,,
2010-10-11,,,,,
2010-10-12,,,,,
2010-10-13,,,,,
2010-10-14,,,,,
2010-10-15,,,,,
2010-10-16,,,,,
2010-10-17,,,,,
2010-10-18,,,,,
2010-10-19,,,,,
2010-10-20,,,,,
2010-10-21,,,,,
2010-10-22,,,,,
2010-10-23,,,,,
2010-10-24,,,,,
2010-10-25,,,,,
2010-10-26,,,,,
2010-10-27,,,,,
2010-10-28,,,,,
2010-10-29,,,,,
2010-10-30,,,,,
2010-10-31,,,,,
2010-11-01,,,,,
2010-11-02,,,,,
2010-11-03,,,,,
2010-11-04,,,,,
2010-11-05,,,,,
2010-11-06,,,,,
2010-11-07,,,,,
2010-11-08,,,,,
2010-11-09,,,,,
2010-11-10,,,,,
2010-11-11,,,,,
2010-11-12,,,,,
2010-11-13,,,,,
2010-11-14,,,,,
2010-11-15,,,,,
2010-11-16,,,,,
2010-11-17,,,,,
2010-11-18,,,,,
2010-11-19,,,,,
2010-11-20,,,,,
2010-11-21,,,,,
2010-11-22,,,,,
2010-11-23,,,,,
2010-11-24,,,,,
2010-11-25,,,,,
2010-11-26,,,,,
2010-11-27,,,,,
2010-11-28,,,,,
2010-11-29,,,,,
2010-11-30,,,,,
2010-12-01,,,,,
2010-12-02,,,,,
2010-12-03,,,,,
2010-12-04,,,,,
2010-12-05,,,,,
2010-12-06,,,,,
2010-12-07,,,,,
2010-12-08,,,,,
2010-12-09,,,,,
2010-12-10,,,,,
2010-12-11,,,,,
2010-12-12,,,,,
2010-12-13,,,,,
2010-12-14,,,,,
2010-12-15,,,,,
2010-12-16,,,,,
2010-12-17,,,,,
2010-12-18,,,,,
2010-12-19,,,,,
2010-12-20,,,,,
2010-12-21,,,,,
2010-12-22,,,,,
2010-12-23,,,,,
2010-12-24,,,,,
2010-12-25,,,,,
2010-12-26,,,,,
2010-12-27,,,,,
2010-12-28,,,,,
2010-12-29,,,,,
2010-12-30,,,,,
2010-12-31,,,,,
2011-01-01,,,,,
2011-01-02,,,,,
2011-01-03,,,,,
2011-01-04,,,,,
2011-01-05,,,,,
2011-01-06,,,,,
2011-01-07,,,,,
2011-01-08,,,,,
2011-01-09,,,,,
2011-01-10,,,,,
2011-01-11,,,,,
2011-01-12,,,,,
2011-01-13,,,,,
2011-01-14,,,,,
2011-01-15,,,,,
2011-01-16,,,,,
2011-01-17,,,,,
2011-01-18,,,,,
2011-01-19,,,,,
2011-01-20,,,,,
2011-01-21,,,,,
2011-01-22,,,,,
2011-01-23,,,,,
2011-01-24,,,,,
2011-01-25,,,,,
2011-01-26,,,,,
2011-01-27,,,,,
2011-01-28,,,,,
2011-01-29,,,,,
2011-01-30,,,,,
2011-01-31,,,,,0.46875672281484304
2011-02-01,0.8923907365747201,0.6256946343365682,1.4949167937622154,0.5745709517083895,0.8745162500438326
2011-02-02,0.9743416688773927,0.9992476377318441,0.3200494639605502,0.9953011955310835,0.9136873700374333
2011-02-03,0.7139930906982584,0.4963647870747701,1.245265744129739,0.43805945221812975,0.523832749746537
2011-02-04,,,,,
2011-02-05,,,,,
2011-02-06,1.5474184476646884,0.9711686393470121,3.701836330256999,0.9711686393470121,1.4618952590047543
2011-02-07,1.775195893030008,1.775195893030008,1.7160123181608993,1.775195893030008,1.148223035053025
2011-02-08,1.5645972788433054,1.4098317996312089,1.6592757588821563,1.6590954654398338,1.4971036187260238
2011-02-09,,,,,
2011-02-10,0.5410588687237772,0.3316400180073113,0.7919768283188475,0.3316400180073113,0.3813419282800023
2011-02-11,-0.8735519382287742,,,,-0.8317256386597893
2011-02-12,0.6619760418291027,0.37824303709424306,1.171087317145578,0.2596357549462514,0.5464131251480777
2011-02-13,1.6277509644437127,1.4720195632507234,1.361956765885605,1.4720195632507234,1.6521218721551867
2011-02-14,1.210341716728657,1.576957436667885,0.8912283650528542,1.666200801001145,1.2482921348616713
2011-02-15,1.9013972822495537,1.6329571667297922,2.7277555329771253,1.6329571667297922,1.8338296820994142
2011-02-16,1.9470635800471807,1.6145346179281772,2.89671571304146,1.6145346179281772,1.8997038968358277
2011-02-17,1.8734001847549513,1.973502847946387,0.9817148006092739,1.973502847946387,1.951729622299124
2011-02-18,1.107008074009382,1.2324095809403153,0.47823369371004604,1.2324095809403153,1.2386340319301328
2011-02-19,1.554320832420847,1.6878694876303066,1.3985226356562312,1.6878694876303066,1.5889237270272207
2011-02-20,2.3343225422423957,3.47577966099537,1.681060009616071,3.47577966099537,2.3290814126178176
2011-02-21,1.3902977465983315,1.4061537951076273,0.3439749926330399,1.4061537951076273,1.424537248882357
2011-02-22,0.043780426892860096,,,,0.23521065329371305
2011-02-23,1.8905520055782057,0.7799489861911116,3.3187793502997507,0.7799489861911116,1.7980360974483551
2011-02-24,0.2377982978947835,0.18478836375848215,0.1530334032137434,1.268902295829278,0.7485060525702277
2011-02-25,1.1974258304489687,1.284713090765737,0.8351161227859201,1.2460441905248556,1.0689262098326466
2011-02-26,2.3843274428067263,1.8184146342863599,2.9423770492305064,1.8184146342863599,2.278337062796329
2011-02-27,1.0522579896475626,1.1577645409763577,,1.1290926935297108,1.1877917821482793
2011-02-28,0.7160755093893529,0.8773269450946539,,0.8255576003207786,0.7005548826587678
2011-03-01,1.7309472579986624,1.7515553049001098,0.10850216615084891,2.708232007507398,1.7341590943422198
2011-03-02,2.107238096045087,2.5930219822106646,1.3294836296617503,2.5930219822106646,2.2222265543524147
2011-03-03,3.0200825371917217,2.822372910828362,4.154233493294314,2.822372910828362,2.653475689020197
2011-03-04,1.7681213892125962,1.0049838478166793,2.5600695441287438,1.0049838478166793,1.7057302397232692
2011-03-05,1.7343720182822933,2.1813602859458383,0.6003824434050684,2.1813602859458383,1.5752589509969352
2011-03-06,-4.018273157300361,1.7100831744416305,4.054824230900889,1.7100831744416305,-0.746937901833423
2011-03-07,2.0241110569944802,2.307273322372824,1.9757144637342043,2.307273322372824,1.9250930725688455
2011-03-08,2.824535219535551,3.462625735314547,2.2440341534449817,3.462625735314547,2.63955566232649
2011-03-09,1.2749983820510096,0.8059870887734758,,0.725424605057921,1.2086807110465887
2011-03-10,0.3056054885059299,0.4410541354917824,,0.6792863845924312,0.6633765285288232
2011-03-11,2.5886860253969943,2.300647488819548,3.5339369218585963,2.7632772640294516,2.5315197595013865
2011-03-12,1.7555879919080928,1.878940326902457,0.9167789737037185,1.964481628673211,2.105050409727844
2011-03-13,1.5997772478293024,1.5006753686678933,0.9174992618127255,1.5006753686678933,2.0083479001402686
2011-03-14,3.1123071718834767,2.821150977762475,8.533515299828315,2.821150977762475,2.5793133212812474
2011-03-15,0.7852443097730214,1.648720504412469,,1.418829918634608,0.7167627833030875
2011-03-16,1.2703474370430476,1.2612000250562863,0.3487126898878286,1.2933782929486066,1.1530233623957646
2011-03-17,1.8329276307208928,2.0430011729765525,0.7385589877221619,2.0430011729765525,2.116326303163703
2011-03-18,1.6735360499659044,1.222230907857084,0.5684528179473467,1.222230907857084,1.560700443050924
2011-03-19,1.332124038974319,1.1864091362591718,,1.1864091362591718,1.435317586270352
2011-03-20,2.7145795651237696,4.005232964421667,2.6569627155639566,4.005232964421667,2.7223347743341173
2011-03-21,2.22357459352565,2.3186390643725745,0.7125499768866022,2.3186390643725745,2.022720885513253
2011-03-22,1.4804503595790446,1.0389949210537506,2.512806781847223,0.9904087485606611,1.2751944786747627
2011-03-23,0.9038906902943877,1.2384030002424755,,1.121166381066365,1.0844001382492414
2011-03-24,1.2856809397520448,1.4888421192889805,0.8636468529611986,1.4888421192889805,1.3111522760357681
2011-03-25,2.04250711512053,0.9589483644951665,,0.7055701117498653,2.0633897531014966
