date,sunrise_hour,sunset_hour,daylength
2012-01-01,8,17,9
2012-01-02,8,17,9
2012-01-03,8,17,9
2012-01-04,8,17,9
2012-01-05,8,17,9
2012-01-06,8,17,9
2012-01-07,8,17,9
2012-01-08,8,17,9
2012-01-09,8,17,9
2012-01-10,8,17,9
2012-01-11,8,17,9
2012-01-12,8,17,9
2012-01-13,8,17,9
2012-01-14,8,17,9
2012-01-15,8,17,9
2012-01-16,8,17,9
2012-01-17,8,17,9
2012-01-18,8,17,9
2012-01-19,8,17,9
2012-01-20,8,17,9
2012-01-21,8,17,9
2012-01-22,8,18,10
2012-01-23,8,18,10
2012-01-24,8,18,10
2012-01-25,8,18,10
2012-01-26,8,18,10
2012-01-27,8,18,10
2012-01-28,8,18,10
2012-01-29,8,18,10
2012-01-30,8,18,10
2012-01-31,8,18,10
2012-02-01,8,18,10
2012-02-02,8,18,10
2012-02-03,8,18,10
2012-02-04,8,18,10
2012-02-05,8,18,10
2012-02-06,8,18,10
2012-02-07,8,18,10
2012-02-08,8,18,10
2012-02-09,8,18,10
2012-02-10,8,18,10
2012-02-11,8,18,10
2012-02-12,7,18,11
2012-02-13,7,18,11
2012-02-14,7,18,11
2012-02-15,7,18,11
2012-02-16,7,18,11
2012-02-17,7,18,11
2012-02-18,7,18,11
2012-02-19,7,18,11
2012-02-20,7,18,11
2012-02-21,7,18,11
2012-02-22,7,18,11
2012-02-23,7,18,11
2012-02-24,7,18,11
2012-02-25,7,18,11
2012-02-26,7,18,11
2012-02-27,7,18,11
2012-02-28,7,18,11
2012-02-29,7,18,11
2012-03-01,7,18,11
2012-03-02,7,18,11
2012-03-03,7,18,11
2012-03-04,7,18,11
2012-03-05,7,18,11
2012-03-06,7,18,11
2012-03-07,7,18,11
2012-03-08,7,18,11
2012-03-09,7,18,11
2012-03-10,7,18,11
2012-03-11,7,19,12
2012-03-12,7,19,12
2012-03-13,7,19,12
2012-03-14,7,19,12
2012-03-15,7,19,12
2012-03-16,7,19,12
2012-03-17,7,19,12
2012-03-18,7,19,12
2012-03-19,7,19,12
2012-03-20,7,19,12
2012-03-21,7,19,12
2012-03-22,6,19,13
2012-03-23,6,19,13
2012-03-24,6,19,13
2012-03-25,6,19,13
2012-03-26,6,19,13
2012-03-27,6,19,13
2012-03-28,6,19,13
2012-03-29,6,19,13
2012-03-30,6,19,13
2012-03-31,6,19,13
2012-04-01,6,19,13
2012-04-02,6,19,13
2012-04-03,6,19,13
2012-04-04,6,19,13
2012-04-05,6,19,13
2012-04-06,6,19,13
2012-04-07,6,19,13
2012-04-08,6,19,13
2012-04-09,6,19,13
2012-04-10,6,19,13
2012-04-11,6,19,13
2012-04-12,6,19,13
2012-04-13,6,19,13
2012-04-14,6,19,13
2012-04-15,6,19,13
2012-04-16,6,19,13
2012-04-17,6,19,13
2012-04-18,6,19,13
2012-04-19,6,19,13
2012-04-20,6,19,13
2012-04-21,6,19,13
2012-04-22,6,19,13
2012-04-23,6,19,13
2012-04-24,6,19,13
2012-04-25,6,19,13
2012-04-26,6,19,13
2012-04-27,6,19,13
2012-04-28,5,19,14
2012-04-29,5,19,14
2012-04-30,5,19,14
2012-05-01,5,19,14
2012-05-02,5,19,14
2012-05-03,5,19,14
2012-05-04,5,20,15
2012-05-05,5,20,15
2012-05-06,5,20,15
2012-05-07,5,20,15
2012-05-08,5,20,15
2012-05-09,5,20,15
2012-05-10,5,20,15
2012-05-11,5,20,15
2012-05-12,5,20,15
2012-05-13,5,20,15
2012-05-14,5,20,15
2012-05-15,5,20,15
2012-05-16,5,20,15
2012-05-17,5,20,15
2012-05-18,5,20,15
2012-05-19,5,20,15
2012-05-20,5,20,15
2012-05-21,5,20,15
2012-05-22,5,20,15
2012-05-23,5,20,15
2012-05-24,5,20,15
2012-05-25,5,20,15
2012-05-26,5,20,15
2012-05-27,5,20,15
2012-05-28,5,20,15
2012-05-29,5,20,15
2012-05-30,5,20,15
2012-05-31,5,20,15
2012-06-01,5,20,15
2012-06-02,5,20,15
2012-06-03,5,20,15
2012-06-04,5,20,15
2012-06-05,5,20,15
2012-06-06,5,20,15
2012-06-07,5,20,15
2012-06-08,5,20,15
2012-06-09,5,20,15
2012-06-10,5,20,15
2012-06-11,5,20,15
2012-06-12,5,20,15
2012-06-13,5,20,15
2012-06-14,5,20,15
2012-06-15,5,20,15
2012-06-16,5,20,15
2012-06-17,5,20,15
2012-06-18,5,20,15
2012-06-19,5,20,15
2012-06-20,5,20,15
2012-06-21,5,20,15
2012-06-22,5,20,15
2012-06-23,5,20,15
2012-06-24,5,20,15
2012-06-25,5,20,15
2012-06-26,5,20,15
2012-06-27,5,20,15
2012-06-28,5,20,15
2012-06-29,5,20,15
2012-06-30,5,20,15
2012-07-01,5,20,15
2012-07-02,5,20,15
2012-07-03,5,20,15
2012-07-04,5,20,15
2012-07-05,5,20,15
2012-07-06,5,20,15
2012-07-07,5,20,15
2012-07-08,5,20,15
2012-07-09,5,20,15
2012-07-10,5,20,15
2012-07-11,5,20,15
2012-07-12,5,20,15
2012-07-13,5,20,15
2012-07-14,5,20,15
2012-07-15,5,20,15
2012-07-16,5,20,15
2012-07-17,5,20,15
2012-07-18,5,20,15
2012-07-19,5,20,15
2012-07-20,5,20,15
2012-07-21,5,20,15
2012-07-22,5,20,15
2012-07-23,5,20,15
2012-07-24,5,20,15
2012-07-25,5,20,15
2012-07-26,5,20,15
2012-07-27,5,20,15
2012-07-28,5,20,15
2012-07-29,5,20,15
2012-07-30,5,20,15
2012-07-31,5,20,15
2012-08-01,5,20,15
2012-08-02,5,20,15
2012-08-03,5,20,15
2012-08-04,5,20,15
2012-08-05,5,20,15
2012-08-06,5,20,15
2012-08-07,5,20,15
2012-08-08,6,20,14
2012-08-09,6,20,14
2012-08-10,6,20,14
2012-08-11,6,20,14
2012-08-12,6,20,14
2012-08-13,6,20,14
2012-08-14,6,20,14
2012-08-15,6,19,13
2012-08-16,6,19,13
2012-08-17,6,19,13
2012-08-18,6,19,13
2012-08-19,6,19,13
2012-08-20,6,19,13
2012-08-21,6,19,13
2012-08-22,6,19,13
2012-08-23,6,19,13
2012-08-24,6,19,13
2012-08-25,6,19,13
2012-08-26,6,19,13
2012-08-27,6,19,13
2012-08-28,6,19,13
2012-08-29,6,19,13
2012-08-30,6,19,13
2012-08-31,6,19,13
2012-09-01,6,19,13
2012-09-02,6,19,13
2012-09-03,6,19,13
2012-09-04,6,19,13
2012-09-05,6,19,13
2012-09-06,6,19,13
2012-09-07,6,19,13
2012-09-08,6,19,13
2012-09-09,6,19,13
2012-09-10,6,19,13
2012-09-11,6,19,13
2012-09-12,6,19,13
2012-09-13,6,19,13
2012-09-14,6,19,13
2012-09-15,6,19,13
2012-09-16,6,19,13
2012-09-17,6,19,13
2012-09-18,6,19,13
2012-09-19,6,19,13
