date,sunrise_hour,sunset_hour,daylength
2008-01-01,5,19,14
2008-01-02,5,19,14
2008-01-03,5,19,14
2008-01-04,5,19,14
2008-01-05,5,19,14
2008-01-06,5,19,14
2008-01-07,5,19,14
2008-01-08,5,19,14
2008-01-09,5,19,14
2008-01-10,5,19,14
2008-01-11,5,19,14
2008-01-12,5,19,14
2008-01-13,5,19,14
2008-01-14,5,19,14
2008-01-15,5,19,14
2008-01-16,5,19,14
2008-01-17,5,19,14
2008-01-18,5,19,14
2008-01-19,5,19,14
2008-01-20,5,19,14
2008-01-21,5,19,14
2008-01-22,5,19,14
2008-01-23,5,19,14
2008-01-24,5,19,14
2008-01-25,5,19,14
2008-01-26,6,19,13
2008-01-27,6,19,13
2008-01-28,6,19,13
2008-01-29,6,19,13
2008-01-30,6,19,13
2008-01-31,6,19,13
2008-02-01,6,19,13
2008-02-02,6,19,13
2008-02-03,6,19,13
2008-02-04,6,19,13
2008-02-05,6,19,13
2008-02-06,6,19,13
2008-02-07,6,19,13
2008-02-08,6,19,13
2008-02-09,6,19,13
2008-02-10,6,19,13
2008-02-11,6,19,13
2008-02-12,6,19,13
2008-02-13,6,19,13
2008-02-14,6,19,13
2008-02-15,6,19,13
2008-02-16,6,19,13
2008-02-17,6,19,13
2008-02-18,6,19,13
2008-02-19,6,19,13
2008-02-20,6,19,13
2008-02-21,6,19,13
2008-02-22,6,19,13
2008-02-23,6,19,13
2008-02-24,6,19,13
2008-02-25,6,19,13
2008-02-26,6,19,13
2008-02-27,6,19,13
2008-02-28,6,19,13
2008-02-29,6,19,13
2008-03-01,6,19,13
2008-03-02,6,19,13
2008-03-03,6,19,13
2008-03-04,6,19,13
2008-03-05,6,19,13
2008-03-06,6,19,13
2008-03-07,6,19,13
2008-03-08,6,19,13
2008-03-09,6,19,13
2008-03-10,6,19,13
2008-03-11,6,19,13
2008-03-12,6,19,13
2008-03-13,6,19,13
2008-03-14,6,19,13
2008-03-15,6,19,13
2008-03-16,6,19,13
2008-03-17,6,18,12
2008-03-18,6,18,12
2008-03-19,6,18,12
2008-03-20,6,18,12
2008-03-21,6,18,12
2008-03-22,6,18,12
2008-03-23,6,18,12
2008-03-24,6,18,12
2008-03-25,6,18,12
2008-03-26,6,18,12
2008-03-27,6,18,12
2008-03-28,6,18,12
2008-03-29,6,18,12
2008-03-30,6,18,12
2008-03-31,6,18,12
2008-04-01,6,18,12
2008-04-02,6,18,12
2008-04-03,6,18,12
2008-04-04,6,18,12
2008-04-05,6,18,12
2008-04-06,6,18,12
2008-04-07,7,18,11
2008-04-08,7,18,11
2008-04-09,7,18,11
2008-04-10,7,18,11
2008-04-11,7,18,11
2008-04-12,7,18,11
2008-04-13,7,18,11
2008-04-14,7,18,11
2008-04-15,7,18,11
2008-04-16,7,18,11
2008-04-17,7,18,11
2008-04-18,7,18,11
