date,8TPD,4TPD,3TPDnight,3TPDday,hourly
2008-05-15,,,,,
2008-05-16,,1.55355931300244,0.5795526376233444,1.55355931300244,2.6253559769462314
2008-05-17,0.6292666811553437,0.652492918568961,0.08538019934568211,0.6516885790467498,0.535597159531571
2008-05-18,0.9456362873021626,1.0437803657549927,0.2882459896368727,1.0437803657549927,0.8079938118590145
2008-05-19,0.6419548353834799,0.5822625724578727,0.0305042907950148,0.8209518533344271,0.8902594044546508
2008-05-20,0.44032713950167185,0.8157945063006231,0.41708527226469905,0.8157945063006231,1.3310831207252103
2008-05-21,0.19872202700922004,0.36964046233941844,0.2743838081225827,0.8297748481575491,0.7741621917638245
2008-05-22,0.5690796099842214,0.5561465710876218,,0.5561465710876218,1.3057585577761828
2008-05-23,0.23484339670164472,0.3991443645941045,3.273155292074158,0.3991443645941045,1.1058823531901614
2008-05-24,0.670520552986697,0.8604414988982273,0.3598791587677727,0.8546377239066134,0.9491715581998305
2008-05-25,0.6030014994111061,0.5778683585372669,0.20065065603877047,0.6532107997424194,0.7761253157107423
2008-05-26,0.93693367482314,0.5278854223874206,0.17907869160815013,0.5278854223874206,0.9204344272718812
2008-05-27,0.43742813277164455,0.48638063872915815,0.169088723645653,0.48638063872915815,0.5646536476560844
2008-05-28,0.6557700798768614,0.2029083636810213,-0.1715899019286132,0.2005657521700225,0.7087270343742074
2008-05-29,0.5903703766890271,0.5666222162340748,,0.6725275260329555,0.6313919377770822
2008-05-30,0.41009676539455364,0.3995870338024394,15.023988379871504,0.5058235143337712,0.3289987062738387
2008-05-31,0.19072117766202912,0.0335334793785472,,0.0335334793785472,0.1954594455443435
2008-06-01,0.17547865854246944,0.030839664263967885,-0.0041888409004164455,0.11687737937465638,0.2879970649487175
2008-06-02,0.32858426034447696,0.33537513888246445,,0.34243730230611497,0.4687569428084895
2008-06-03,0.0824676756898267,0.8876253545900439,0.17585000234359277,2.5199581049984072,0.036097399328099966
2008-06-04,0.17268499136002183,0.45620182000233034,958.6827273259555,0.47394509352877573,0.14296153111506948
2008-06-05,0.29953633330633955,0.2991387415080041,0.05321502216831145,0.2864490878156036,0.35895833273314304
2008-06-06,0.16273172615737813,0.16192978766766533,,0.16192978766766533,0.20173674429761568
2008-06-07,0.8400251786836903,0.15002416134065308,,0.15002416134065308,0.1823301498253483
2008-06-08,0.06861328517932266,0.11308125906264843,0.025194778288389667,0.17989854905826086,0.12025221202568076
2008-06-09,0.1238501160189117,0.1232891458559832,0.01661755908833413,0.1232891458559832,0.11215706423463208
2008-06-10,0.026055406433848193,0.05422717565675597,0.08349019602971845,0.04234949156892871,0.07579164098107649
2008-06-11,0.04297476501557744,,0.05053590325597484,,0.011330255358046373
2008-06-12,0.0935899647943425,0.08766750280338281,0.0021846720621892237,0.08766750280338281,0.06391166058405204
2008-06-13,0.07381865426758706,0.06879324989354045,,0.06879324989354045,0.05621895524643802
2008-06-14,0.06798041146329845,0.061263815331821014,,0.061263815331821014,0.04832869126359608
2008-06-15,,,,,
2008-06-16,,,,,
2008-06-17,,,,,
2008-06-18,,,,,
2008-06-19,,,,,
2008-06-20,,,,,
2008-06-21,,,,,
2008-06-22,,,,,
2008-06-23,,,,,
2008-06-24,,,,,
2008-06-25,,,,,
2008-06-26,,,,,
2008-06-27,,,,,
2008-06-28,,,,,
2008-06-29,,,,,
2008-06-30,,,,,
2008-07-01,,,,,
2008-07-02,,,,,
2008-07-03,,,,,
2008-07-04,,,,,
2008-07-05,,,,,
2008-07-06,,,,,
2008-07-07,,,,,
2008-07-08,,,,,
2008-07-09,0.005018219300029672,0.46990090967152015,0.46990090967152015,0.034484418864024646,0.018849778176045693
2008-07-10,0.03657684117442014,0.05635427302842442,-0.00053181884272529,0.05635427302842442,0.07501141014288139
2008-07-11,,,,,0.062322500410036834
2008-07-12,0.22809275372443188,0.02398056486065844,,0.02398056486065844,3.2389474259270887
2008-07-13,0.5795654458628958,0.01311176481369196,0.005930264456719524,0.01311176481369196,0.5391748227875438
2008-07-14,0.15215153124190253,0.005745156806487188,,0.005745156806487188,0.014829836028760177
2008-07-15,,,,,
2008-07-16,,,,,
2008-07-17,,,,,
2008-07-18,,,,,
2008-07-19,,,,,
2008-07-20,,,,,
2008-07-21,,,,,
2008-07-22,,,,,
2008-07-23,,,,,
2008-07-24,,,,,
2008-07-25,,,,,
2008-07-26,,,,,
2008-07-27,,,,,
2008-07-28,,,,,
2008-07-29,,,,,
2008-07-30,,,,,
2008-07-31,,,,,
2008-08-01,,,,,
2008-08-02,,,,,
2008-08-03,,,,,
2008-08-04,,,,,
2008-08-05,,,,,
2008-08-06,,,,,
2008-08-07,,,,,
2008-08-08,,,,,
2008-08-09,,,,,
2008-08-10,,,,,
2008-08-11,,,,,
2008-08-12,,,,,
2008-08-13,,,,,
2008-08-14,,,,,
2008-08-15,,,,,
2008-08-16,,,,,
2008-08-17,,,,,
2008-08-18,,,,,
2008-08-19,,,,,
2008-08-20,,,,,
2008-08-21,,,,,
2008-08-22,,,,,
2008-08-23,,,,,
2008-08-24,,,,,
2008-08-25,,,,,
2008-08-26,,,,,
2008-08-27,,,,,
2008-08-28,,,,,
2008-08-29,,,,,
2008-08-30,,,,,
2008-08-31,,,,,
2008-09-01,,,,,
2008-09-02,,,,,
