site,longitude,latitude,code,ratio,n_hyst,n_years,tot_dl_days
AUS_ELL_MB_MOD,146.582,-36.785,TAir-only,0.5050847457627119,298,2,590
AUS_MAR_HSD_HIG,145.581,-37.643,TAir-only,0.9954545454545455,438,3,440
AUS_MAR_HSW_HIG,145.574,-37.647,TAir-only,0.9090909090909091,400,3,440
AUS_MAR_MSD_MOD,145.584,-37.642,TAir-only,0.9840909090909091,433,3,440
AUS_MAR_MSW_MOD,145.572,-37.649,TAir-only,0.8704545454545455,383,3,440
AUS_MAR_UBD,145.565,-37.691,TAir-only,0.8568181818181818,377,2,440
AUS_MAR_UBW,145.572,-37.888,TAir-only,0.9043280182232346,397,3,439
AUS_RIC_EUC_ELE,150.74027777777778,-33.6177777777778,TSM+TAir,0.7219387755102041,283,2,392
AUS_WOM,144.0944,-37.4222,TSM+TAir,1.0,632,3,632
BRA_CAX_CON,-51.434028,-1.792306,TAir-only,0.8796169630642955,643,2,731
BRA_SAN,-45.1833333333333,-23.2833333333333,TAir-only,0.9666666666666667,203,2,210
CAN_TUR_P39_POS,-80.3574,42.7097777778,TSM+TAir,0.3425287356321839,596,3,1740
CAN_TUR_P39_PRE,-80.3574,42.7097777778,TSM+TAir,0.2425287356321839,422,3,1740
CAN_TUR_P74,-80.3483138889,42.7068111111,TSM+TAir,0.37528735632183907,653,5,1740
CHE_LOT_NOR,7.761333333333333,46.391783333333336,TSM+TAir,0.18591403417918176,359,3,1931
CZE_SOB_SOB,16.6868742,49.2485294,TAir-only,0.5013020833333334,385,2,768
DEU_MER_DOU_NON,7.806581,49.273523,TAir-only,0.8131868131868132,518,2,637
DEU_MER_MIX_NON,7.806839,49.273705,TAir-only,0.8116169544740973,517,2,637
ESP_ALT_ARM,-2.3283,40.7769,TSM+TAir,0.37823371989295274,424,2,1121
ESP_ALT_TRI,-2.2328,40.8044,TSM+TAir,0.33202511773940346,423,2,1274
ESP_CAN,2.07361111111111,41.4309888889,TAir-only,1.0,418,2,418
ESP_LAS,-16.5682777777778,28.305972222222223,TAir-only,0.9066059225512528,398,2,439
ESP_TIL_MIX,1.0144288,41.33262995,TAir-only,0.6759847522236341,532,2,787
ESP_VAL_SOR,1.8135611,42.19605278,TAir-only,0.5601577909270217,284,2,507
FRA_FON,2.78014,48.47634,TAir-only,0.21548456957227938,398,2,1847
FRA_HES_HE2_NON,7.0647,48.6742,TAir-only,0.6347962382445141,810,3,1276
FRA_PUE,3.5958333333333337,43.74138888888889,TSM+TAir,0.1844574780058651,629,11,3410
GUF_GUY_GUY,-52.924863,5.278772,TSM+TAir,0.9415730337078652,838,3,890
IDN_JAM_RUB,102.783222,-2.095278,TAir-only,0.9422222222222222,212,2,225
NLD_LOO,5.7435527777777775,52.16648333333333,TSM+TAir,0.24465558194774348,206,3,842
NZL_HUA_HUA,174.4903,-36.7958,TSM+TAir,0.6677215189873418,633,4,948
PRT_MIT,-8.0002777777777,38.5405555555556,TAir-only,0.8689759036144579,577,3,664
RUS_FYO,32.9220833,56.4615278,TAir-only,0.8436724565756824,1020,4,1209
RUS_POG_VAR,92.95,56.36,TSM+TAir,0.4603960396039604,186,2,404
SWE_SVA_MIX_NON,19.77451111,64.25609694,TAir-only,0.900990099009901,182,2,202
USA_DUK_HAR,-79.09419083333333,36.978175,TSM+TAir,0.8759776536312849,784,3,895
USA_HIL_HF1_POS,-78.864178648,36.2173212,TSM+TAir,0.14619080301990392,213,3,1457
USA_HIL_HF2,-78.863993733,36.217476608,TSM+TAir,0.10226492793411118,149,3,1457
USA_PJS_P04_AMB,-106.529444444444,34.38638888888889,TSM+TAir,0.38011152416356875,818,6,2152
USA_PJS_P08_AMB,-106.529444444444,34.38638888888889,TSM+TAir,0.37592936802973975,809,6,2152
USA_PJS_P12_AMB,-106.529444444444,34.38638888888889,TSM+TAir,0.383364312267658,825,5,2152
USA_SIL_OAK_POS,-74.59555555555555,39.91563055555555,TAir-only,0.901743264659271,569,2,631
ZAF_NOO_E3_IRR,19.337516666666662,-33.20099166666667,TSM+TAir,1.0,432,3,432
ZAF_RAD,19.108,-34.08,TAir-only,0.9946808510638298,187,2,188
ZAF_SOU_SOU,19.0933,-34.087,TSM+TAir,0.9946808510638298,187,2,188
